Language	ISO 639-3	Glottocode	possessed	possessive_marker	possessor_marked
Yosondúa Mixtec	mpm	yoso1239	True	False	False
Yorta Yorta	xyy	yort1237	True	False	False
Yopno	yut	yopn1238	True	False	False
Yongnan Zhuang	zyn	yong1275	False	True	False
Yonggom	yon	yong1280	True	False	False
Yonaguni	yoi	yona1241	False	False	True
Yom	pil	yomm1242	True	False	False
Yir-Yoront	yiy	yiry1245	True	False	False
Yinggarda	yia	ying1247	False	True	False
Yine	pib	yine1238	True	False	False
Yindjibarndi	yij	yind1247	True	False	False
Yidiny	yii	yidi1250	True	False	False
Yessan-Mayo	yss	yess1239	True	False	False
Yeri	yev	yapu1240	True	False	False
Yele	yle	yele1255	True	False	False
Yekhee	ets	yekh1238	True	False	False
Yecuatla Totonac	tlc	yecu1235	True	False	False
Yaygir	xya	yayg1236	True	False	False
Yawuru	ywr	yawu1244	True	False	False
Yauyos Quechua	qux	yauy1235	True	False	False
Yareba	yrb	yare1248	True	False	False
Yaqui	yaq	yaqu1251	True	False	False
Yao	yao	yaoo1241	True	False	False
Yanomám	wca	yano1262	True	False	False
Yanesha'	ame	yane1238	True	False	False
Yanda Dom Dogon	dym	yand1257	True	False	False
Yana	ynn	yana1271	True	False	False
Yaminahua	yaa	yami1256	True	False	False
Yalarnnga	ylr	yala1262	True	False	False
Yalahatan-Haruru-Awaiya	jal	yala1266	True	False	False
Yakan	yka	yaka1277	True	False	False
Yagua	yad	yagu1244	True	False	False
Yagnobi	yai	yagn1238	True	False	False
Yaaku	muu	yaak1241	False	True	False
Xârâcùù	ane	xara1244	True	False	False
Xokleng	xok	xokl1240	True	False	False
Xicotepec De Juárez Totonac	too	xico1235	True	False	False
Xiang Chinese	hsn	xian1251	True	False	False
Xhosa	xho	xhos1239	True	False	False
Xanaguía Zapotec	ztg	xana1235	True	False	False
Wuvulu-Aua	wuv	wuvu1239	True	False	False
Wutung	wut	wutu1244	True	False	False
Wunambal	wub	wuna1249	True	False	False
Wulguru	qgu	wulg1239	True	False	False
Wubuy	nuy	nung1290	True	False	False
Woun Meu	noa	woun1238	True	False	False
Wotu	wtw	wotu1240	True	False	False
Worrorra	wro	worr1237	True	False	False
Worodougou	jud	woro1256	True	False	False
Worimi	kda	wori1245	True	False	False
Woods Cree	cwd	wood1236	True	False	False
Woleaian	woe	wole1240	True	False	False
Wolaytta	wal	wola1242	True	False	False
Wolane	wle	wola1253	True	False	False
Woiwurrung	wyi	woiw1237	True	False	False
Wiyot	wiy	wiyo1248	True	False	False
Wirangu	wgu	wira1265	True	False	False
Wiradhuri	wrh	wira1262	True	False	False
Wipi	gdr	wipi1242	True	False	False
Wintu	wit	wint1259	True	False	False
Wilson River (Grey Range)	nbx	ngur1261	True	False	False
Wik-Ngathana	wig	wikn1245	True	False	False
Wichita	wic	wich1260	True	False	False
Whitesands	tnp	whit1269	True	False	False
Western Tlacolula Valley Zapotec	zab	sanj1284	True	False	False
Western Tamang	tdg	west2415	True	False	False
Western Pantar	lev	lamm1241	True	False	False
Western Ojibwa	ojw	west1510	True	False	False
Western Muria	mut	west2408	True	False	False
Western Keres	kjq	west2632	True	False	False
Western Karaboro	kza	west2466	True	False	False
Western Huasteca Nahuatl	nhw	west2624	True	False	False
Western Highland Chatino	ctp	west2644	True	False	False
Western Fijian	wyy	west2519	True	False	False
Western Dani	dnw	west2594	True	False	False
Western Cham	cja	west2650	True	False	False
Western Bru	brv	west2397	False	True	False
Western Arrarnta	are	west2441	True	False	False
Western Apache	apw	west2615	True	False	False
West Tarangan	txn	west2538	True	False	False
West Makian	mqs	west2600	True	False	False
West Damar	drn	west2548	True	False	False
West Coast Bajau	bdr	west2560	True	False	False
West Central Oromo	gaz	west2721	True	False	False
Weri	wer	weri1253	True	False	False
Welsh	cym	wels1247	True	False	False
Welsh Romani	rmw	wels1246	True	False	False
Wayana	way	waya1269	True	False	False
Wawa	www	wawa1246	True	False	False
Waurá	wau	waur1244	True	False	False
Wathawurrung	wth	wath1238	True	False	False
Waskia	wsk	wask1241	True	False	False
Washo	was	wash1253	True	False	False
Warungu	wrg	waru1264	True	False	False
Warrwa	wwr	warr1258	True	False	False
Warrnambool	gjm	warr1257	True	False	False
Warrgamay	wgy	warr1255	True	False	False
Warray	wrz	wara1290	True	False	False
Warlmanpa	wrl	warl1255	True	False	False
