Language	ISO 639-3	Glottocode	case_marker	case_prefix	case_suffix	comitative	instrumental	locative
Tsafiki	cof	colo1256	True	False	False	True	True	True
Ts'ixa	NOCODE_Tsixa	tsix1234	True	False	False	True	True	True
Trumai	tpy	trum1247	True	False	False	True	True	True
Tondi Songway Kiini	tst	tond1249	True	False	False	True	True	True
Tondano	tdn	tond1251	True	False	False	True	True	True
Tommo So Dogon	dto	tomm1242	True	False	False	True	True	True
Tobelo	tlb	tobe1252	True	False	False	True	True	True
Tobati	tti	toba1266	True	False	False	True	True	True
Tlachichilco Tepehua	tpt	tlac1235	True	False	False	True	True	True
Tirma-Chai	suq	suri1267	True	False	True	False	True	True
Tiri-Mea	cir	tiri1258	True	False	False	True	True	True
Tipai	dih	kumi1248	True	False	False	True	True	True
Tinani	lbf	tina1246	True	False	True	False	True	True
Timugon Murut	tih	timu1262	True	False	False	True	True	True
Tima	tms	tima1241	True	False	False	True	True	True
Tikhak	NOCODE_Tikhak	tikh1243	True	False	True	False	True	True
Ticuna	tca	ticu1245	True	False	True	True	False	True
Thulung	tdh	thul1246	True	False	False	True	True	True
Thangal Naga	nki	than1255	True	False	True	False	True	True
Thado Chin	tcz	thad1238	True	False	True	False	True	True
Texistepec Popoluca	poq	texi1237	True	True	False	False	True	True
Teribe	tfr	teri1250	True	False	False	True	True	True
Tedim Chin	ctd	tedi1235	True	False	False	True	True	True
Tawala	tbo	tawa1275	True	False	False	True	True	True
Tauya	tya	tauy1241	False	False	True	True	True	True
Taulil	tuh	taul1251	True	False	False	True	True	True
Tataltepec Chatino	cta	tata1258	True	False	False	True	True	True
Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	rif	tari1263	True	False	True	False	True	True
Tarao	tro	tara1313	True	False	True	False	True	True
Tapieté	tpj	tapi1253	True	False	False	True	True	True
Tamambo	mla	malo1243	True	False	False	True	True	True
Tajio	tdj	taji1246	True	False	False	True	True	True
Tajik	tgk	taji1245	True	False	False	True	True	True
Tagin	tgj	tagi1241	True	False	False	True	True	True
Tabla	tnm	tabl1243	True	False	False	True	True	True
Svan	sva	svan1243	True	False	True	False	True	True
Surgut Khanty	NOCODE_Surgut-Khanty	surg1248	False	False	True	True	True	True
Supyire Senoufo	spp	supy1237	True	False	False	True	True	True
Sunwar	suz	sunw1242	True	False	True	False	True	True
Sumerian	sux	sume1241	True	False	False	True	True	True
Stau-Dgebshes	ero	horp1239	True	False	False	True	True	True
Spiti Bhoti	spt	spit1240	True	False	True	False	True	True
Southern Tangkhul Naga	NOCODE_Southern-Tangkhul	khan1277	True	False	True	False	True	True
Southern Qiang	qxs	sout2728	True	False	False	True	True	True
Southern Kiwai	kjd	sout2949	False	False	True	True	True	True
Southern Alta	agy	sout2905	True	False	False	True	True	True
Southeastern Pomo	pom	sout2982	False	False	True	True	True	True
Southeast Pashayi	psi	sout2672	True	False	True	False	True	True
South Efate	erk	sout2856	True	False	False	True	True	True
South Azerbaijani	azb	sout2697	True	False	True	False	True	True
Solu-Khumbu Sherpa	xsr	sher1255	True	False	False	True	True	True
Skou	skv	nucl1634	True	False	False	True	True	True
Siraya	fos	sira1267	True	False	False	True	True	True
Sirajic	NOCODE_Sirajic	sira1263	True	False	True	False	True	True
Sinte-Manus Romani	rmo	sint1235	True	False	False	True	True	True
Sidamo	sid	sida1246	True	False	True	False	True	True
Shixing	sxg	shix1238	True	False	False	True	True	True
Shipibo-Conibo	shp	ship1254	True	False	False	True	True	True
Shabo	sbf	shab1252	True	False	False	True	True	True
Semelai	sza	seme1247	True	False	False	True	True	True
Selkup	sel	selk1253	False	False	True	True	True	True
Selk'nam	ona	onaa1245	True	False	False	True	True	True
Seke (Nepal)	skj	seke1240	True	False	False	True	True	True
Sangtam Naga	nsa	sang1321	True	False	True	False	True	True
Saisiyat	xsy	sais1237	True	False	False	True	True	True
Saaroa	sxr	saar1237	True	False	False	True	True	True
Sa'a	apb	saaa1240	False	False	True	True	True	True
Rukai	dru	ruka1240	True	False	False	True	True	True
Ruga	ruh	ruga1238	True	False	True	False	True	True
Rongpo	rnp	rong1264	True	False	True	False	True	True
Ritarungo	rit	rita1239	False	False	True	True	True	True
Rimanggudinhma	zmv	mbar1253	False	False	True	True	True	True
Rayón Zoque	zor	rayo1235	True	False	False	True	True	True
Rawat	jnl	rawa1264	True	False	True	False	True	True
Ravula	yea	ravu1237	True	False	True	False	True	True
Rapanui	rap	rapa1244	True	False	False	True	True	True
Rangkas	rgk	rang1266	True	False	True	False	True	True
Rama	rma	rama1270	True	False	False	True	True	True
Puyuma	pyu	puyu1239	True	False	False	True	True	True
Purum	pub	puru1266	True	False	True	False	True	True
Purepecha	tsz	pure1242	False	False	True	True	True	True
Pukapuka	pkp	puka1242	True	False	False	True	True	True
Poumei Naga	pmx	poum1235	True	False	True	False	True	True
Pite Sami	sje	pite1240	False	False	True	True	True	True
Pintupi-Luritja	piu	pint1250	True	False	True	False	True	True
Pilagá	plg	pila1245	True	False	False	True	True	True
Phalura	phl	phal1254	True	False	True	False	True	True
Peripheral Mongolian	mvf	peri1253	True	False	False	True	True	True
Pendau	ums	pend1242	True	False	False	True	True	True
Penange	NOCODE_Penange	pena1270	True	False	False	True	True	True
Pech	pay	pech1241	False	False	True	True	True	True
Paumarí	pad	paum1247	True	False	False	True	True	True
Pattani	lae	patt1248	True	False	True	False	True	True
Parecís	pab	pare1272	True	False	False	True	True	True
Panará	kre	pana1307	True	False	False	True	True	True
Panare	pbh	enap1235	True	False	False	True	True	True
Pamosu	hih	pamo1253	True	False	False	True	True	True
Paluai	blq	balu1257	True	False	False	True	True	True
Pahari Newari	phj	paha1257	True	False	True	False	True	True
Pagu	pgu	pagu1249	True	False	False	True	True	True
Orya	ury	orya1242	True	False	True	False	True	True
Ormuri	oru	ormu1247	True	False	False	True	True	True
Old Uighur	oui	oldu1238	False	False	True	True	True	True
Old Telugu	NOCODE_Old-Telugu	oldt1249	True	False	True	False	True	True
Old Latin	qbb	oldl1238	False	False	True	True	True	True
Nyunga	nys	nyun1247	False	False	True	True	True	True
Nyiyaparli	xny	nija1241	True	False	False	True	True	True
Nyigina	nyh	nyig1240	True	False	False	True	True	True
Nung (Myanmar)	nun	nung1282	True	False	False	True	True	True
Nukna	klt	nukn1238	True	False	False	True	True	True
Nubi	kcn	nubi1253	True	False	False	True	True	True
Northwestern Kolami	kfb	nort2699	True	False	True	False	True	True
Northern Sami	sme	nort2671	False	False	True	True	True	True
Northern Pastaza Quichua	qvz	nort2973	True	False	True	False	True	True
Northern Paiute	pao	nort2954	True	False	True	False	True	True
Northern Mansi	mns	mans1258	False	False	True	True	True	True
Northern Jinghpaw	sgp	sing1264	False	False	True	True	True	True
Northern Emberá	emp	nort2972	True	False	True	False	True	True
Northern Conchucos Ancash Quechua	qxn	nort2979	True	False	True	True	False	True
Northeast Maidu	nmu	nort2952	False	False	True	True	True	True
North-Central Dargwa	dar	darg1241	True	False	False	True	True	True
North Marquesan	mrq	nort2845	True	False	False	True	True	True
Nobiin	fia	nobi1240	True	False	True	False	True	True
Nisenan	nsz	nise1244	False	False	True	True	True	True
Nimadi	noe	nima1243	True	False	True	False	True	True
Nihali	nll	niha1238	True	False	True	False	True	True
Ngomba	jgo	ngom1272	True	False	False	True	True	True
Ngkâlmpw Kanum	kcd	ngka1235	True	False	False	True	True	True
Ngizim	ngi	ngiz1242	True	False	False	True	True	True
Nggem	nbq	ngge1241	True	False	False	True	True	True
Ngarinyin	ung	ngar1284	True	False	False	True	True	True
Ngandi	nid	ngan1295	False	False	True	True	True	True
Ngalakan	nig	ngal1293	False	False	True	True	True	True
Nez Perce	nez	nezp1238	True	False	True	False	True	True
Nepali	npi	nepa1254	True	False	True	False	True	True
Nati	NOCODE_Nati	nati1244	True	False	False	True	True	True
Natchez	ncz	natc1249	False	False	True	True	True	True
