Language	ISO 639-3	Glottocode	passive	transitivity	valence
Galibi Carib	car	gali1262	True	True	True
Gagadu	gbu	gaga1251	True	True	True
Fuliiru	flr	fuli1240	True	True	True
Filomeno Mata Totonac	tlp	filo1235	True	True	True
Falam Chin	cfm	fala1243	True	True	True
Eyak	eya	eyak1241	True	True	True
Even	eve	even1260	True	True	True
Etulo	utr	etul1245	True	True	True
Eton-Mengisa	eto	eton1253	True	True	True
Ersu	ers	ersu1241	True	True	True
El Nayar Cora	crn	elna1235	True	True	True
Eastern Oromo	hae	east2652	True	True	True
Eastern Lawa	lwl	east2330	True	True	True
East Kewa	kjs	east2516	True	True	True
Dura	drq	dura1244	True	True	True
Dumi	dus	dumi1241	True	True	True
Diriku	diu	diri1252	True	True	True
Dhivehi	div	dhiv1236	True	True	True
Dhimal	dhi	dhim1246	True	True	True
Dhao	nfa	dhao1237	True	True	True
Dampelas	dms	damp1237	True	True	True
Daman-Diu Portuguese	idb	dama1278	True	True	True
Daats'iin	dtn	daat1234	True	True	True
Daai Chin	dao	daai1236	True	True	True
Cowlitz	cow	cowl1242	True	True	True
Cotabato Manobo	mta	cota1241	True	True	True
Comox	coo	como1259	True	True	True
Columbia-Wenatchi	col	colu1241	True	True	True
Cocama-Cocamilla	cod	coca1259	True	True	True
Cicipu	awc	cici1237	True	True	True
Chácobo	cao	chac1251	True	True	True
Chol	ctu	chol1282	True	True	True
Chitwania Tharu	the	chit1274	True	True	True
Chintang	ctn	chhi1245	True	True	True
Central Tarahumara	tar	cent2131	True	True	True
Cashibo-Cacataibo	cbr	cash1251	True	True	True
Caribbean Hindustani	hns	cari1275	True	True	True
Caquinte	cot	caqu1242	True	True	True
Buwal	bhs	buwa1243	True	True	True
Buru (Indonesia)	mhs	buru1303	True	True	True
Bunan	bfu	gahr1239	True	True	True
Bunaba	bck	buna1275	True	True	True
Bujhyal	byh	bujh1238	True	True	True
Bora	boa	bora1263	True	True	True
Bonan	peh	bona1250	True	True	True
Bolinao	smk	boli1256	True	True	True
Beria	zag	zagh1240	True	True	True
Bena (Tanzania)	bez	bena1262	True	True	True
Bembe	bmb	bemb1255	True	True	True
Bella Coola	blc	bell1243	True	True	True
Belep	yly	nyal1254	True	True	True
Belanda Bor	bxb	bela1256	True	True	True
Baure	brg	baur1253	True	True	True
Bats	bbl	bats1242	True	True	True
Bati (Cameroon)	btc	bati1251	True	True	True
Basa (Nigeria)	bzw	basa1282	True	True	True
Barok	bjk	baro1253	True	True	True
Bargam	mlp	barg1252	True	True	True
Bardi	bcj	bard1255	True	True	True
Bandial	bqj	band1340	True	True	True
Bambassi	myf	bamb1262	True	True	True
Balinese	ban	bali1278	True	True	True
Babine	bcr	babi1235	True	True	True
Awa-Cuaiquer	kwi	awac1239	True	True	True
Avatime	avn	avat1244	True	True	True
Ashéninka Perené	prq	ashe1272	True	True	True
Arta	atz	arta1239	True	True	True
Arapaho	arp	arap1274	True	True	True
Araona	aro	arao1248	True	True	True
Araki	akr	arak1252	True	True	True
Anu	anl	anuu1241	True	True	True
Amur Nivkh	niv	gily1242	True	True	True
Amkoe	huc	hoaa1235	True	True	True
Amis	ami	amis1246	True	True	True
Ami	amy	amii1238	True	True	True
Amele	aey	amel1241	True	True	True
Ambai	amk	amba1265	True	True	True
Alaba-K'abeena	alw	alab1254	True	True	True
Akuntsu	aqz	akun1241	True	True	True
Akoye	miw	akoy1238	True	True	True
Ajyíninka Apurucayali	cpc	ajyi1238	True	True	True
Aghwan	xag	aghw1237	True	True	True
Adyghe	ady	adyg1241	True	True	True
Abui	abz	abui1241	True	True	True
Àhàn	ahn	ahan1244	True	True	False
Zigula-Mushungulu	ziw	zigu1244	True	True	False
Zialo	zil	zial1235	True	True	False
Zbu	NOCODE_Zbu	zbua1234	False	True	True
Zauzou	zal	zauz1238	True	True	False
Zaniza Zapotec	zpw	zani1235	True	False	True
Zacatepec Chatino	ctz	zaca1242	True	True	False
Yuwaalaraay-Gamilaraay	kld	gami1243	True	True	False
Yucuna	ycn	yucu1253	False	True	True
Yora	mts	yora1241	True	True	False
Yonaguni	yoi	yona1241	True	True	False
Yogad	yog	yoga1237	True	True	False
Yir-Yoront	yiy	yiry1245	True	True	False
Yimas	yee	yima1243	False	True	True
Yidiny	yii	yidi1250	True	True	False
Yeyi	yey	yeyi1239	True	False	True
Yemsa	jnj	yems1235	True	True	False
Yaygir	xya	yayg1236	True	True	False
Yawuru	ywr	yawu1244	True	True	False
Yawa	yva	nucl1454	True	True	False
Yau (Morobe Province)	yuw	yaum1237	False	True	True
Yapese	yap	yape1248	True	True	False
Yanyuwa	jao	yany1243	True	True	False
Yankunytjatjara	kdd	yank1247	True	True	False
Yan-nhangu	jay	yann1237	True	True	False
Yamphu	ybi	yamp1242	True	True	False
Yakkha	ybh	yakk1236	True	True	False
Yagaria	ygr	yaga1260	True	True	False
Xishanba Lalo	ywt	xish1235	False	True	True
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	True	True	False
Xicotepec De Juárez Totonac	too	xico1235	True	True	False
Xiang Chinese	hsn	xian1251	True	True	False
Xamtanga	xan	xamt1239	True	True	False
Wutunhua	wuh	wutu1241	True	True	False
Wutung	wut	wutu1244	True	True	False
Worrorra	wro	worr1237	True	True	False
Woods Cree	cwd	wood1236	True	True	False
Wiyot	wiy	wiyo1248	True	True	False
Wipi	gdr	wipi1242	True	True	False
Wilson River (Grey Range)	nbx	ngur1261	True	True	False
Wik-Ngathana	wig	wikn1245	True	True	False
Wik-Mungkan	wim	wikm1247	True	True	False
Western Tamang	tdg	west2415	True	True	False
Western Puroik	NOCODE_Western-Puroik	west2873	False	True	True
Western Huasteca Nahuatl	nhw	west2624	True	True	False
Western Canadian Inuktitut	ikt	west2618	True	True	False
Western Apache	apw	west2615	True	True	False
West Tarangan	txn	west2538	True	True	False
West Kewa	kew	west2599	True	True	False
West Berawan	zbw	west2564	True	True	False
Wayuu	guc	wayu1243	True	True	False
Wayu	vay	wayu1241	True	True	False
Wayana	way	waya1269	True	False	True
Wawa	www	wawa1246	True	True	False
Warray	wrz	wara1290	True	True	False
Warlpiri	wbp	warl1254	True	True	False
Waris	wrs	wari1266	True	True	False
Wari'	pav	wari1268	True	True	False
Wardaman	wrr	ward1246	True	True	False
Waray (Philippines)	war	wara1300	True	True	False
Wappo	wao	wapp1239	True	True	False
Waorani	auc	waor1240	True	True	False
Wano	wno	wano1243	True	True	False
Wanman	wbt	wanm1242	True	True	False
Wangaaybuwan-Ngiyambaa	wyb	wang1291	True	True	False
Wandala	mfi	wand1278	True	True	False
Wambule	wme	wamb1257	True	True	False
Wambon	wms	wamb1259	False	True	True
Wambayan	wmb	wamb1258	True	True	False
Walmajarri	wmt	walm1241	True	True	False
Wallisian	wls	wall1257	True	True	False
Wala	lgl	wala1266	False	True	True
Wakhi	wbl	wakh1245	True	True	False
Waima	rro	waim1251	True	True	False
Wailaki	wlk	wail1244	True	True	False
Waigeo	wgo	waig1244	True	True	False
Wadjiginy	wdj	wadj1254	True	True	False
Vengo	bav	veng1238	True	True	False
Vamale	mkt	vama1243	True	True	False
Vafsi	vaf	vafs1240	True	True	False
Ute-Southern Paiute	ute	utes1238	True	True	False
Ut-Main	gel	kagf1238	True	True	False
Usan	wnu	usan1239	False	True	True
Urim	uri	urim1252	True	True	False
Urartian	xur	urar1245	True	False	True
Urarina	ura	urar1246	True	True	False
Upper Chehalis	cjh	uppe1439	True	True	False
Unua	onu	unua1237	True	True	False
Umanakaina	gdn	uman1240	True	True	False
Ulwa (Papua New Guinea)	yla	yaul1241	True	True	False
Uduk	udu	uduk1239	True	True	False
Udmurt	udm	udmu1245	True	False	True
Udihe	ude	udih1248	True	False	True
Udi	udi	udii1243	True	False	True
Tzotzil	tzo	tzot1259	True	True	False
Tuvalu	tvl	tuva1244	True	True	False
Tunisian-Zuwara Berber	NOCODE_Tunisian-Zuwara	tuni1262	True	True	False
Tungag	lcm	tung1290	False	True	True
Tumbuka	tum	tumb1250	True	True	False
Tuki	bag	tuki1240	True	True	False
Tukang Besi North	khc	tuka1248	True	True	False
Tugun	tzn	tugu1245	True	False	True
Tsou	tsu	tsou1248	True	True	False
Tsafiki	cof	colo1256	True	True	False
Towa	tow	jeme1245	True	True	False
Touo	tqu	touo1238	False	True	True
Toro So Dogon	dts	toro1252	True	True	False
Torau	ttu	tora1259	True	True	False
Tonsawang	tnw	tons1239	True	True	False
Tondi Songway Kiini	tst	tond1249	True	True	False
Tomo Kan Dogon	dtm	tomo1243	True	True	False
Tombonuo	txa	tomb1244	True	True	False
Tolowa-Chetco	tol	tolo1259	True	True	False
Tokelau	tkl	toke1240	True	True	False
Tok Pisin	tpi	tokp1240	True	True	False
Tojolabal	toj	tojo1241	True	True	False
Tocantins Asurini	asu	toca1235	True	True	False
Tobelo	tlb	tobe1252	True	True	False
To'abaita	mlu	toab1237	True	True	False
Tlingit	tli	tlin1245	True	True	False
Tlaxcala-Puebla-Central Nahuatl	nhn	cent2132	True	True	False
Tiwi	tiw	tiwi1244	True	True	False
Titan	ttv	tita1241	True	True	False
Tirma-Chai	suq	suri1267	True	False	True
Tiri-Mea	cir	tiri1258	True	True	False
Tiranige Diga Dogon	tde	tira1258	True	True	False
Tipai	dih	kumi1248	True	True	False
Tima	tms	tima1241	True	True	False
Tikopia	tkp	tiko1237	True	True	False
Tigon Mbembe	nza	tigo1236	True	True	False
Tifal	tif	tifa1245	True	True	False
Tiefo-Nyafogo-Numudara	NOCODE_Tiefo-Nyafogo-Numudara	tief1244	True	True	False
Tidore	tvo	tido1248	False	True	True
Thulung	tdh	thul1246	False	True	True
Thompson	thp	thom1243	True	True	False
Thayore	thd	thay1249	True	True	False
Tetum	tet	tetu1245	True	True	False
Tetelcingo Nahuatl	nhg	tete1251	True	False	True
Teribe	tfr	teri1250	True	False	True
Tennet	tex	tenn1246	True	False	True
Tena Lowland Quichua	quw	tena1240	True	False	True
Tedim Chin	ctd	tedi1235	True	False	True
Tebul Ure Dogon	dtu	tebu1239	True	True	False
Tawallammat Tamajaq	ttq	tawa1286	True	True	False
Tauya	tya	tauy1241	True	True	False
Taulil	tuh	taul1251	False	True	True
Tatana	txx	tata1257	True	True	False
Tataltepec Chatino	cta	tata1258	False	True	True
Tariana	tae	tari1256	True	True	False
Taos Northern Tiwa	twf	nort1550	True	True	False
Tanzanian Ngoni	xnj	tanz1241	True	True	False
Tanimuca-Retuarã	tnc	tani1257	True	False	True
Tangwang	NOCODE_Tangwang	tang1373	True	True	False
Tangam	NOCODE_Tangam	tang1377	True	True	False
Tamambo	mla	malo1243	True	True	False
Tajik	tgk	taji1245	True	True	False
Tainae	ago	tain1253	True	True	False
Taiga Sayan Turkic	kim	kara1462	True	True	False
Tafi	tcd	tafi1243	True	True	False
Tabasco Chontal	chf	taba1266	True	True	False
T'apo	lgn	opuu1239	True	False	True
Sydney	xdk	sydn1236	True	True	False
Supyire Senoufo	spp	supy1237	True	True	False
Sunwar	suz	sunw1242	True	True	False
Sundanese	sun	sund1252	True	True	False
Sumerian	sux	sume1241	True	True	False
Sudest	tgo	sude1239	True	True	False
Standard Indonesian	ind	indo1316	True	True	False
Spokane	spo	spok1245	True	True	False
Southwestern Dargwa	NOCODE_Southwestern-Dargwa	sout3261	True	True	False
Southwest Tanna	nwi	sout2869	True	True	False
Southern Pumi	pmj	sout2729	False	True	True
Southern Nambikuára	nab	sout2994	True	True	False
Southern Kisi	kss	sout2778	True	True	False
Southern Dong	kmc	sout2741	True	True	False
Southern Conchucos Ancash Quechua	qxo	sout2992	True	True	False
Southern Amami-Oshima	ams	sout2954	True	True	False
Southeast Ambrym	tvk	sout2859	True	True	False
South-Eastern Ju	ktz	juho1239	True	True	False
South Efate	erk	sout2856	False	True	True
Sorkhei	sqo	sork1239	True	True	False
Sora	srb	sora1254	True	True	False
Sonsorol	sov	sons1242	True	True	False
Solu-Khumbu Sherpa	xsr	sher1255	True	True	False
Soic	soj	soii1239	True	True	False
Skou	skv	nucl1634	True	True	False
