Language	ISO 639-3	Glottocode	comitative_causative	sociative
Wambayan	wmb	wamb1258	False	False
Walser	wae	wals1238	False	False
Walmajarri	wmt	walm1241	False	False
Wallisian	wls	wall1257	False	False
Wala	lgl	wala1266	False	False
Wakhi	wbl	wakh1245	False	False
Wakawaka	wkw	waka1274	False	False
Wajarri	wbv	waja1257	False	False
Waiwai	waw	waiw1244	False	False
Waimiri-Atroari	atr	waim1253	False	False
Waima'a	wmh	waim1252	False	False
Waima	rro	waim1251	False	False
Wailaki	wlk	wail1244	False	False
Waigeo	wgo	waig1244	False	False
Wahgi	wgi	nucl1620	False	False
Wageman	waq	wage1238	False	False
Wagaya	wga	waga1260	False	False
Waffa	waj	waff1241	False	False
Wadjiginy	wdj	wadj1254	False	False
Waata	ssn	waat1238	False	False
Vwanji	wbi	vwan1235	False	False
Vute	vut	vute1244	False	False
Vunjo	vun	vunj1238	False	False
Votic	vot	voti1245	False	False
Vlax Romani	rmy	vlax1238	False	False
Virgin Islands Creole English	vic	virg1240	False	False
Vinza	vin	vinz1238	False	False
Vincentian Creole English	svc	vinc1243	False	False
Vietnamese	vie	viet1252	False	False
Vera'a	vra	vera1241	False	False
Ventureño	veo	vent1242	False	False
Vengo	bav	veng1238	False	False
Venetic	xve	vene1257	False	False
Venetian	vec	vene1258	False	False
Venda	ven	vend1245	False	False
Varhadi-Nagpuri	vah	varh1239	False	False
Vanimo	vam	vani1248	False	False
Vamale	mkt	vama1243	False	False
Vaiphei	vap	vaip1239	False	False
Vai	vai	vaii1241	False	False
Vagla	vag	vagl1239	False	False
Vaghri	vgr	vagh1246	False	False
Vafsi	vaf	vafs1240	False	False
Vaeakau-Taumako	piv	pile1238	False	False
Vach-Vasjugan	NOCODE_Vach-Vasjugan	fare1244	False	False
Vaal-Orange	kqu	vaal1235	False	False
Vaagri Booli	vaa	vaag1238	False	False
Uzbeki Arabic	auz	uzbe1248	False	False
Ute-Southern Paiute	ute	utes1238	False	False
Ut-Main	gel	kagf1238	False	False
Usarufa	usa	usar1243	False	False
Usan	wnu	usan1239	False	False
Urubú-Kaapor	urb	urub1250	False	False
Uru	ure	uruu1244	False	False
Uripiv-Wala-Rano-Atchin	upv	urip1239	False	False
Urim	uri	urim1252	False	False
Urhobo	urh	urho1239	False	False
Urdu	urd	urdu1245	False	False
Urat	urt	urat1244	False	False
Urartian	xur	urar1245	False	False
Urarina	ura	urar1246	False	False
Urak Lawoi'	urk	urak1238	False	False
Ura (Vanuatu)	uur	urav1235	False	False
Upper Taromi	tov	uppe1235	False	False
Upper Tanana	tau	uppe1437	False	False
Upper Necaxa Totonac	tku	uppe1275	False	False
Upper Kinabatangan	dmg	uppe1427	False	False
Upper Guinea Crioulo	pov	uppe1455	False	False
Upper Chinookan	wac	wasc1239	False	False
Upper Chehalis	cjh	uppe1439	False	False
Unua	onu	unua1237	False	False
Unserdeutsch	uln	unse1236	False	False
Uneapa	bbn	unea1237	False	False
Uncunwee	ghl	ghul1238	False	False
Unami	unm	unam1242	False	False
Una	mtg	unaa1239	False	False
Umiray Dumaget Agta	due	umir1236	False	False
Umbuygamu	umg	umbu1256	False	False
Umbundu	umb	umbu1257	False	False
Umbugarla	umr	umbu1235	False	False
Umbu-Ungu	ubu	umbu1258	False	False
Umbrian	xum	umbr1253	False	False
Umatilla	uma	umat1237	False	False
Umanakaina	gdn	uman1240	False	False
Ulwa	ulw	ulwa1239	False	False
Ulwa (Papua New Guinea)	yla	yaul1241	False	False
Ulithian	uli	ulit1238	False	False
Ukrainian	ukr	ukra1253	False	False
Ukaan	kcf	ukaa1243	False	False
Uighur	uig	uigh1240	False	False
Ugong	ugo	ugon1239	False	False
Ughele	uge	ughe1237	False	False
Ugaritic	uga	ugar1238	False	False
Uduk	udu	uduk1239	False	False
Udmurt	udm	udmu1245	False	False
Udi	udi	udii1243	False	False
Ubykh	uby	ubyk1235	False	False
Ubir	ubr	ubir1237	False	False
U	uuu	uuuu1243	False	False
Tübatulabal	tub	tuba1278	False	False
Tày	tyz	tayy1238	False	False
Tzotzil	tzo	tzot1259	False	False
Tzeltal	tzh	tzel1254	False	False
Tz'utujil	tzj	tzut1248	False	False
Tyap	kcg	tyap1238	False	False
Tweed-Albert	xjb	twee1234	False	False
Twana	twa	twan1247	False	False
Tuwuli	bov	tuwu1238	False	False
Tuwali Ifugao	ifk	tuwa1243	False	False
Tuvinian	tyv	tuvi1240	False	False
Tuvalu	tvl	tuva1244	False	False
Tututni	tuu	tutu1242	False	False
Tutsa Naga	tvt	tuts1235	False	False
Tutelo	tta	tute1247	False	False
Tuscarora	tus	tusc1257	False	False
Turung	try	turu1249	False	False
Turks And Caicos Creole English	tch	turk1310	False	False
Turkmen	tuk	turk1304	False	False
Turkish	tur	nucl1301	False	False
Turkic Khalaj	klj	turk1303	False	False
Turkana	tuv	turk1308	False	False
Tunumiisiut	NOCODE_Tunumiisiut	tunu1234	False	False
Tunni	tqq	tunn1238	False	False
Tunisian Arabic	aeb	tuni1259	False	False
Tunica	tun	tuni1252	False	False
Tungurahua Highland Quichua	qxl	sala1272	False	False
Tungag	lcm	tung1290	False	False
Tunen	tvu	tune1261	False	False
Tundra Nenets	yrk	nene1249	False	False
Tumbuka	tum	tumb1250	False	False
Tulu	tcy	tulu1258	False	False
Tule-Kaweah Yokuts	NOCODE_Tule-Kaweah	tule1245	False	False
Tula	tul	tula1252	False	False
Tuki	bag	tuki1240	False	False
Tukang Besi North	khc	tuka1248	False	False
Tugun	tzn	tugu1245	False	False
Tugen	tuy	tuge1241	False	False
Tucano	tuo	tuca1252	False	False
Tswana	tsn	tswa1253	False	False
Tswa	tsc	tswa1255	False	False
Tsuvadi	tvd	tsuv1239	False	False
Tsou	tsu	tsou1248	False	False
Tsonga	tso	tson1249	False	False
Tshobdun	NOCODE_Tshobdun	tsho1240	False	False
Tshangla	tsj	tsha1245	False	False
Tsez	ddo	dido1241	False	False
Tsat	huq	tsat1238	False	False
Tsamai	tsb	tsam1247	False	False
Tsakonian	tsd	tsak1248	False	False
Tsakhur	tkr	tsak1249	False	False
Tsafiki	cof	colo1256	False	False
Trumai	tpy	trum1247	False	False
Trinidadian Creole English	trf	trin1276	False	False
Towa	tow	jeme1245	False	False
Touo	tqu	touo1238	False	False
Totontepec Mixe	mto	toto1305	False	False
Toto	txo	toto1302	False	False
Totela	ttl	tote1238	False	False
Torwali	trw	torw1241	False	False
Torres Strait Creole	tcs	torr1261	False	False
Toro Tegu Dogon	dtt	toro1253	False	False
Toro So Dogon	dts	toro1252	False	False
Torau	ttu	tora1259	False	False
Toposa	toq	topo1242	False	False
Tonsawang	tnw	tons1239	False	False
Tonkawa	tqw	tonk1249	False	False
Tonga (Zambia)	toi	tong1318	False	False
Tonga (Tonga Islands)	ton	tong1325	False	False
Tondi Songway Kiini	tst	tond1249	False	False
Tondano	tdn	tond1251	False	False
Tomo Kan Dogon	dtm	tomo1243	False	False
Tommo So Dogon	dto	tomm1242	False	False
Tombonuo	txa	tomb1244	False	False
Toma	tod	toma1245	False	False
Tolowa-Chetco	tol	tolo1259	False	False
Tolomako	tlm	tolo1255	False	False
Tol	jic	toll1241	False	False
Tokelau	tkl	toke1240	False	False
Tok Pisin	tpi	tokp1240	False	False
Tojolabal	toj	tojo1241	False	False
Tohono O'odham	ood	toho1245	False	False
Tocantins Asurini	asu	toca1235	False	False
