Language	ISO 639-3	Glottocode	occlusive	plosive	stop
Njerep	njr	njer1242	False	True	True
Njanga	NOCODE_Njanga	njan1240	False	True	True
Nisenan	nsz	nise1244	False	True	True
Ninde	mwi	labo1244	False	True	True
Nimboran	nir	nucl1633	False	True	True
Niellim	nie	niel1243	False	True	True
Nicaragua Creole English	bzk	nica1252	False	True	True
Nias	nia	nias1242	False	True	True
Ngie	ngj	ngie1242	False	True	True
Ngadjunmaya	nju	ngad1258	False	True	True
Ngad'a	nxg	ngad1261	False	True	True
Neverver	lgk	ling1265	False	True	True
Nek	nif	nekk1240	False	True	True
Nedebang	nec	nede1245	False	True	True
Ndamba	ndj	ndam1239	False	True	True
Nawuri	naw	nawu1242	False	True	True
Nauru	nau	naur1243	True	False	True
Nauete	nxa	naue1237	False	True	True
Naro	nhr	naro1249	False	True	True
Nara	nrb	nara1262	False	True	True
Nar Phu	npa	narp1239	False	True	True
Nangikurrunggurr	nam	nang1259	False	True	True
Nanai	gld	nana1257	False	True	True
Namuyi	nmy	namu1246	False	True	True
Najdi Arabic	ars	najd1235	False	True	True
Nahavaq	sns	sout2857	False	True	True
Máku	xak	maku1246	True	False	True
Mycenaean Greek	gmy	myce1241	False	True	True
Mwotlap	mlv	motl1237	False	True	True
Muyang	muy	muya1243	False	True	True
Muthuvan	muv	muth1236	False	True	True
Mursi	muz	murs1242	False	True	True
Mungbam	mij	abar1238	False	True	True
Mundabli	boe	mund1328	False	True	True
Muna	mnb	muna1247	False	True	True
Mumuye	mzm	nucl1240	False	True	True
Muklom	NOCODE_Muklom	mukl1234	False	True	True
Muduapa	wiv	mudu1242	False	True	True
Mualang	mtd	mual1241	False	True	True
Mpur	akc	mpur1239	False	True	True
Mpongmpong	mgg	mpon1254	True	False	True
Moyon	nmo	moyo1238	True	False	True
Movima	mzp	movi1243	False	True	True
Moskona	mtj	mosk1236	False	True	True
Mosetén-Chimané	cas	mose1249	False	True	True
Moselle Franconian	ltz	luxe1241	False	True	True
Morisyen	mfe	mori1278	False	True	True
Mono (Democratic Republic of Congo)	mnh	mono1270	False	True	True
Mokpwe	bri	mokp1239	False	True	True
Moklen	mkm	mokl1243	False	True	True
Moken	mwt	moke1242	False	True	True
Moi (Indonesia)	mxn	moii1235	False	True	True
Modern Greek	ell	mode1248	False	True	True
Mmen	bfm	mmen1238	False	True	True
Mixtepec Zapotec	zpm	mixt1426	True	False	True
Miship	mjs	mish1244	False	True	True
Mingrelian	xmf	ming1252	False	True	True
Minangkabau	min	mina1268	False	True	True
Mina (Cameroon)	hna	mina1276	False	True	True
Min Bei Chinese	mnp	minb1244	False	True	True
Mikasuki	mik	mika1239	True	False	True
Migabac	mpp	miga1241	False	True	True
Midob	mei	mido1240	False	True	True
Middle Clarence	bdy	midd1357	False	True	True
Middle Chinese	ltc	midd1344	False	True	True
Michif	crg	mich1243	False	True	True
Mezquital Otomi	ote	mezq1235	False	True	True
Meyah	mej	meya1236	False	True	True
Meta'	mgo	meta1238	False	True	True
Mesqan	mvz	mesq1240	False	True	True
Meru	mer	meru1245	False	True	True
Menya	mcr	meny1245	False	True	True
Melpa	med	melp1238	False	True	True
Mehek	nux	mehe1243	False	True	True
Mbuk	bpc	mbuk1244	False	True	True
Maybrat-Karon	ayz	maib1239	False	True	True
Mauwake	mhl	mauw1238	False	True	True
Maung	mph	maun1240	False	True	True
Mato	met	mato1252	False	True	True
Mateq	xem	kemb1249	False	True	True
Maskelynes	klv	mask1242	False	True	True
Masbatenyo	msb	masb1238	False	True	True
Masalit	mls	nucl1440	False	True	True
Markweeta	enb	mark1255	False	True	True
Marind	mrz	nucl1622	False	True	True
Marghi Central	mrt	marg1265	False	True	True
Mapudungun	arn	mapu1245	False	True	True
Maonan	mmd	maon1241	False	True	True
Mao Naga	nbi	maon1238	False	True	True
Mansim	NOCODE_Mansim	mans1260	False	True	True
Mannan	mjv	mann1246	False	True	True
Mann	mev	mann1248	False	True	True
Mankanya	knf	mank1251	False	True	True
Mangarayi	mpc	mang1381	False	True	True
Mangaia-Old Rapa	ray	rapa1245	False	True	True
Mandjak	mfv	mand1419	False	True	True
Manda-Matumba	mgs	mand1423	False	True	True
Mand	ate	atem1241	False	True	True
Manat	pmr	payn1244	False	True	True
Mambwe-Lungu	mgr	mamb1296	False	True	True
Mamaindé	wmd	mama1278	False	True	True
Malua Bay	mll	malu1245	False	True	True
Maltese	mlt	malt1254	False	True	True
Malba Birifor	bfo	malb1235	False	True	True
Malabar-Sri Lanka Portuguese	NOCODE_Malabar-Sri-Lanka-Portuguese	mala1544	False	True	True
Makwe	ymk	makw1236	False	True	True
Maku'a	lva	maku1277	True	False	True
Makasae-Makalero	mkz	maka1316	False	True	True
Maisin	mbq	mais1250	False	True	True
Maia	sks	maia1254	False	True	True
Mafea	mkv	mafe1237	False	True	True
Mada (Nigeria)	mda	mada1282	False	True	True
Machame	jmc	mach1266	False	True	True
Macanese	mzs	maca1262	False	True	True
Maay	ymm	maay1238	False	True	True
Ma'di	mhi	madi1260	False	True	True
Ma Manda	skc	sauk1252	False	True	True
Lü	khb	luuu1242	False	True	True
Luwo	lwo	luwo1239	False	True	True
Lumun	lmd	lumu1239	False	True	True
Luguru	ruf	lugu1238	False	True	True
Lugbara	lgg	lugb1240	False	True	True
Luchazi	lch	luch1239	False	True	True
Luangiua	ojv	onto1237	False	True	True
Luang	lex	luan1263	False	True	True
