Language	ISO 639-3	Glottocode	nasal_consonant	occlusive	oral_consonant	plosive	stop
Lewo	lww	lewo1242	True	False	False	True	True
Leti (Indonesia)	lti	leti1246	False	True	False	True	True
Lenje	leh	lenj1248	True	False	False	True	True
Lengua Sur	enx	sout2989	True	False	True	False	True
Lele (Papua New Guinea)	lle	lele1270	True	False	False	True	True
Larteh	lar	lart1238	True	False	False	True	True
Lamjung-Melamchi Yolmo	scp	hela1238	True	False	False	True	True
Lahta-Zayein Karen	kxk	zaye1235	True	False	False	True	True
Lachi	lbt	lach1248	True	False	False	True	True
Laari	ldi	laar1238	True	False	False	True	True
Kxoe	xuu	kxoe1243	True	False	False	True	True
Kwegu	xwg	kweg1241	True	False	False	True	True
Kwaza	xwa	kwaz1243	True	False	False	True	True
Kwakum	kwu	kwak1266	True	False	False	True	True
Kusaal	kus	kusa1250	True	False	False	True	True
Kuni-Boazi	kvg	kuni1265	True	False	False	True	True
Kuikúro-Kalapálo	kui	kuik1246	True	False	False	True	True
Kuanyama	kua	kuan1247	True	False	False	True	True
Koyraboro Senni Songhai	ses	koyr1242	True	False	True	False	True
Koti	eko	koti1238	True	False	False	True	True
Korop	krp	koro1304	True	False	False	True	True
Korlai Portuguese	vkp	korl1238	True	True	False	False	True
Korafe-Yegha	kpr	kora1294	True	False	False	True	True
Konni	kma	konn1242	True	False	False	True	True
Kol (Cameroon)	biw	kolc1235	True	False	True	False	True
Koi	kkt	koii1238	True	False	False	True	True
Khroskyabs	jiq	guan1266	True	False	False	True	True
Khakas	kjh	khak1248	False	True	False	True	True
Kgalagadi	xkv	kgal1244	True	False	False	True	True
Kerinci	kvr	keri1250	True	False	True	False	True
Kenuzi-Dongola	kzh	kenu1236	True	False	False	True	True
Kelabit	kzi	kela1258	True	False	False	True	True
Kayardild	gyd	kaya1319	False	True	False	True	True
Karipúna Creole French	kmv	kari1301	True	False	False	True	True
Karata	kpt	kara1474	True	False	False	True	True
Karajá	kpj	kara1500	True	False	True	False	True
Kara-Kalpak	kaa	kara1467	True	False	False	True	True
Kankanaey	kne	kank1243	True	False	False	True	True
Kanashi	xns	kana1283	True	False	False	True	True
Kambaata	ktb	kamb1316	True	False	False	True	True
Kam	kdx	kamm1249	True	False	False	True	True
Kalanga	kck	kala1384	True	False	False	True	True
Kalamang	kgv	kara1499	False	False	True	True	True
Kakabe	kke	kaka1265	True	True	False	False	True
Kagulu	kki	kagu1239	True	False	False	True	True
Kado	kdv	kado1242	True	False	False	True	True
Kachchi	kfr	kach1277	True	False	False	True	True
Kaba	ksp	kaba1281	True	False	False	True	True
Jerung	jee	jeru1240	True	False	False	True	True
Jaqaru	jqr	jaqa1244	True	True	False	False	True
Japhug	NOCODE_Japhug	japh1234	True	False	False	True	True
Jalkunan	bxl	jalk1242	True	False	True	False	True
Jad	jda	jadd1243	True	False	False	True	True
Itzá	itz	itza1241	True	False	True	False	True
Istro Romanian	ruo	istr1245	False	True	False	True	True
Ili'uun	ilu	iliu1237	True	False	False	True	True
Ikoma-Nata	ntk	ikom1245	True	False	True	True	False
Igbo	ibo	nucl1417	True	False	False	True	True
Igala	igl	igal1242	True	False	False	True	True
Iatmul	ian	iatm1242	True	False	False	True	True
Hup	jup	hupd1244	True	False	True	False	True
Hausa States Fulfulde	fuv	nige1253	True	False	False	True	True
Haryanvi	bgc	hary1238	True	False	True	False	True
Hanga Hundi	wos	hang1263	True	False	False	True	True
Hadrami Arabic	ayh	hadr1236	False	True	False	True	True
Hadothi	hoj	hado1235	True	False	False	True	True
Gujari	gju	guja1253	True	False	False	True	True
Guiqiong	gqi	guiq1238	False	True	False	True	True
Gubeeher-Gufangor-Gubelor	NOCODE_Gubeeher-Gufangor-Gubelor	gube1234	True	False	False	True	True
Gonja	gjn	gonj1241	True	False	False	True	True
Gogo	gog	gogo1263	True	False	False	True	True
Godoberi	gdo	ghod1238	False	True	False	True	True
Gitonga	toh	gito1238	True	False	False	True	True
Ghomara	gho	ghom1257	False	True	False	True	True
Gedeo	drs	gede1246	True	False	False	True	True
Gayo	gay	gayo1244	True	False	False	True	True
Gants	gao	gant1244	True	False	False	True	True
Galibi Carib	car	gali1262	False	True	False	True	True
Gaam	tbi	gaam1241	True	False	False	True	True
Gaa	ttb	gaaa1245	True	False	False	True	True
Fwe	fwe	fwee1238	True	False	False	True	True
Fungwa	ula	fung1245	True	False	False	True	True
Fuliiru	flr	fuli1240	True	False	False	True	True
Forest Enets	enf	fore1265	False	True	False	True	True
Fon	fon	fonn1241	True	False	True	False	True
Filomeno Mata Totonac	tlp	filo1235	True	False	False	True	True
Faroese	fao	faro1244	True	False	False	True	True
Falam Chin	cfm	fala1243	True	False	False	True	True
Etulo	utr	etul1245	True	False	False	True	True
Etruscan	ett	etru1241	True	True	False	False	True
Epena	sja	epen1239	True	False	False	True	True
Emerillon	eme	emer1243	True	False	True	False	True
Eleme	elm	elem1253	True	False	False	True	True
Ejagham	etu	ejag1239	True	False	False	True	True
Efe	efe	efee1239	True	False	False	True	True
Edolo	etr	edol1239	True	False	False	True	True
Eastern Penan	pez	east2485	True	False	False	True	True
East Taa	nmn	huaa1248	False	False	True	True	True
East Makian	mky	east2440	True	False	False	True	True
Dyangadi	dyn	dyan1250	True	False	False	True	True
Dura	drq	dura1244	True	False	False	True	True
Dungar Varli	vav	varl1238	True	False	False	True	True
Dumi	dus	dumi1241	True	False	False	True	True
Duhumbi	cvg	chug1252	True	False	False	True	True
Dom	doa	domm1246	True	False	False	True	True
Diriku	diu	diri1252	True	False	False	True	True
Dime	dim	dime1235	True	False	False	True	True
Dhimal	dhi	dhim1246	True	False	False	True	True
Desano	des	desa1247	True	False	False	True	True
Degema	deg	dege1246	True	False	False	True	True
Dazaga	dzg	daza1242	True	False	False	True	True
Darma	drd	darm1243	True	False	False	True	True
Daman-Diu Portuguese	idb	dama1278	True	False	False	True	True
Dagbani	dag	dagb1246	True	False	False	True	True
Daai Chin	dao	daai1236	True	False	False	True	True
Cypriot Greek	NOCODE_Cypriot-Greek	cypr1249	True	True	False	False	True
Cubeo	cub	cube1242	True	False	True	False	True
Cross River Mbembe	mfn	cros1244	True	False	False	True	True
Cocama-Cocamilla	cod	coca1259	True	True	False	False	True
Cicipu	awc	cici1237	True	False	False	True	True
Cia-Cia	cia	ciac1237	True	False	False	True	True
Chulym Turkic	clw	chul1246	True	False	False	True	True
Chitwania Tharu	the	chit1274	True	False	False	True	True
Chitkuli Kinnauri	cik	chit1279	True	False	False	True	True
Chinali	cih	chin1475	True	False	False	True	True
Chiga	cgg	chig1238	True	False	False	True	True
Chamalal	cji	cham1309	False	True	False	True	True
Chakali	cli	chak1271	True	False	False	True	True
Central Romani	rmc	carp1235	True	False	False	True	True
Central Dagaare	dga	sout2789	True	False	False	True	True
Caribbean Javanese	jvn	cari1276	True	False	False	True	True
Capanahua	kaq	capa1241	True	True	False	False	True
Cajun French	frc	caju1236	True	False	False	True	True
Caac	msq	caac1237	True	False	True	False	True
Bundeli	bns	bund1253	True	False	False	True	True
Bunan	bfu	gahr1239	True	False	False	True	True
Bullom So	buy	bull1247	True	False	False	True	True
Brokskat	bkk	brok1247	True	False	False	True	True
Breton	bre	bret1244	True	False	False	True	True
Bouyei	pcc	bouy1240	True	False	False	True	True
Boro (Ethiopia)	bwo	boro1277	True	False	False	True	True
Bole	bol	nucl1695	True	False	False	True	True
Blablanga	blp	blab1237	False	True	False	True	True
Bissa	bib	biss1248	True	False	False	True	True
Bhoti Kinnauri	nes	bhot1235	True	False	False	True	True
Bezhta	kap	bezh1248	False	True	False	True	True
Beria	zag	zagh1240	True	False	False	True	True
Belanda Viri	bvi	bela1255	True	False	False	True	True
Belanda Bor	bxb	bela1256	True	False	False	True	True
Bavarian	bar	bava1246	True	False	False	True	True
Baure	brg	baur1253	True	False	False	True	True
Basa (Nigeria)	bzw	basa1282	True	False	False	True	True
Barain	bva	bare1279	True	False	False	True	True
Baoulé	bci	baou1238	True	False	False	True	True
Bangime	dba	bang1363	True	False	False	True	True
Bandial	bqj	band1340	True	False	False	True	True
Bamun	bax	bamu1253	True	False	False	True	True
Bakoko	bkh	bako1249	True	False	False	True	True
Bagirmi	bmi	bagi1246	True	False	False	True	True
Bafut	bfd	bafu1246	True	False	True	False	True
Bafaw-Balong	bwt	bafa1247	True	False	False	True	True
Bafanji	bfj	bafa1249	True	False	False	True	True
Badaga	bfq	bada1257	True	False	False	True	True
Babine	bcr	babi1235	True	False	True	False	True
Babanki	bbk	baba1266	True	False	False	True	True
Baa	kwb	kwaa1262	True	False	False	True	True
Axamb	ahb	axam1237	True	False	False	True	True
Awutu	afu	awut1241	True	False	False	True	True
Awngi	awn	awng1244	True	False	False	True	True
Awetí	awe	awet1244	True	False	False	True	True
Awara	awx	awar1248	False	False	True	True	True
Awar	aya	awar1249	True	True	False	False	True
Awadhi	awa	awad1243	True	False	False	True	True
Aukan	djk	ndyu1242	True	False	False	True	True
Asu (Tanzania)	asa	asut1235	True	False	False	True	True
Ashéninka Perené	prq	ashe1272	True	False	False	True	True
Archi	aqc	arch1244	False	True	False	True	True
Antigua and Barbuda Creole English	aig	anti1245	True	False	False	True	True
Angolar	aoa	ango1258	True	False	False	True	True
Andalusian Arabic	xaa	anda1287	True	True	False	False	True
Ambonese Malay	abs	ambo1250	True	False	False	True	True
Alyawarr	aly	alya1239	True	False	False	True	True
Alagwa	wbj	alag1248	True	False	False	True	True
Akuntsu	aqz	akun1241	True	False	True	False	True
Akie	mwy	mosi1247	True	False	False	True	True
Ajyíninka Apurucayali	cpc	ajyi1238	True	False	False	True	True
Ahom	aho	ahom1240	True	False	False	True	True
Agob	kit	agob1244	True	False	False	True	True
Aghu	ahh	aghu1255	True	False	False	True	True
Aghem	agq	aghe1239	True	False	True	False	True
Adang	adn	adan1251	True	False	False	True	True
Abé	aba	abee1242	True	True	True	False	False
Abron	abr	abro1238	True	False	False	True	True
//Xegwi	xeg	xegw1238	True	False	False	True	True
//Gana	gnk	gana1274	True	False	False	True	True
//Ani	hnh	anii1246	True	False	False	True	True
Zialo	zil	zial1235	True	False	False	False	True
Zia	zia	ziaa1250	True	False	False	False	True
Zemba	dhm	zemb1238	False	False	False	True	True
Zayse-Zergulla	zay	zays1235	False	False	False	True	True
Zauzou	zal	zauz1238	False	False	False	True	True
Zakhring	zkr	zakh1243	False	False	False	True	True
Yuracaré	yuz	yura1255	False	False	False	True	True
Yuki	yuk	yuki1243	True	False	False	False	True
Yue Chinese	yue	yuec1235	True	False	False	False	True
Yucuna	ycn	yucu1253	False	False	False	True	True
Yuchi	yuc	yuch1247	True	False	False	False	True
Yoy	yoy	yoyy1238	False	False	False	True	True
Yongnan Zhuang	zyn	yong1275	True	False	False	False	True
Yom	pil	yomm1242	True	False	False	False	True
Yine	pib	yine1238	True	False	False	False	True
Yinchia	yin	yinc1238	False	False	False	True	True
Yerukula	yeu	yeru1240	False	False	False	True	True
Yeri	yev	yapu1240	False	False	False	True	True
Yemsa	jnj	yems1235	False	False	False	True	True
Yekhee	ets	yekh1238	True	False	False	False	True
Ye'kwana	mch	maqu1238	True	False	False	False	True
Yaweyuha	yby	yawe1241	False	False	False	True	True
Yau (Morobe Province)	yuw	yaum1237	True	False	False	False	True
Yapese	yap	yape1248	True	False	False	False	True
