Language	ISO 639-3	Glottocode	absolutive	ergative
Kayardild	gyd	kaya1319	True	True
Kayapó	txu	kaya1330	True	True
Kawarrang-Ogh Undjan	NOCODE_Kawarrang-Ogh-Undjan	kawa1290	True	True
Kawaiisu	xaw	kawa1283	True	True
Katcha-Kadugli-Miri	xtc	katc1249	True	True
Kasua	khs	kasu1251	True	True
Kashmiri	kas	kash1277	True	True
Karo (Brazil)	arr	karo1305	True	True
Kariyarra	vka	kari1304	True	True
Karitiâna	ktn	kari1311	True	True
Karata	kpt	kara1474	True	True
Karao	kyj	kara1487	True	True
Karajá	kpj	kara1500	True	True
Karadjeri	gbd	kara1476	True	True
Kaqchikel	cak	kaqc1270	True	True
Kankanaey	kne	kank1243	True	True
Kamu	xmu	kamu1258	True	True
Kambera	xbr	kamb1299	True	True
Kaluli	bco	kalu1248	True	True
Kalkutung	ktg	kalk1246	True	True
Kalaallisut	kal	kala1399	True	True
Kala Lagaw Ya	mwp	kala1377	True	True
Kaike	kzq	kaik1246	True	True
Kagayanen	cgc	kaga1256	True	True
Kachi Koli	gjk	kach1272	True	True
Kabikabi	gbw	kabi1260	True	True
Kabardian	kbd	kaba1278	True	True
Kaba	ksp	kaba1281	True	True
K'iche'	quc	kich1262	True	True
Juquila Mixe	mxq	juqu1238	True	True
Jaru	ddj	jaru1254	True	True
Jarawa (India)	anq	jara1245	True	True
Japhug	NOCODE_Japhug	japh1234	True	True
Jamamadí	jaa	jama1261	True	True
Itzá	itz	itza1241	True	True
Isinai	inn	isin1239	True	True
Inland-Buhi-Daraga Bikol	bhk	alba1269	True	True
Ingush	inh	ingu1240	True	True
Indo-Aryan Kinnauri	kjo	hari1246	True	True
Imonda	imn	imon1245	True	True
Ibanag	ibg	iban1267	True	True
I'saka	ksi	kris1246	True	True
Hurrian	xhu	hurr1240	True	True
Huastec	hus	huas1242	True	True
Huarijio	var	huar1255	True	True
Hoava	hoa	hoav1238	True	True
Hinuq	gin	hinu1240	True	True
Hdi	xed	hdii1240	True	True
Hawu	hvn	sabu1255	True	True
Halkomelem	hur	halk1245	True	True
Haka Chin	cnh	haka1240	True	True
Gurinji	gue	guri1247	True	True
Guragone	gge	gura1252	True	True
Guiqiong	gqi	guiq1238	True	True
Guató	gta	guat1253	True	True
Grass Koiari	kbk	gras1249	True	True
Gooniyandi	gni	goon1238	True	True
Gofa	gof	gofa1235	True	True
Godoberi	gdo	ghod1238	True	True
Gitxsan	git	gitx1241	True	True
Ghanongga	ghn	ghan1242	True	True
Gayo	gay	gayo1244	True	True
Gawar-Bati	gwt	gawa1247	True	True
Garawa	wrk	gara1269	True	True
Ganggalida	gcd	gang1267	True	True
Gamale Kham	kgj	gama1251	True	True
Galibi Carib	car	gali1262	True	True
Gagadu	gbu	gaga1251	True	True
Fore	for	fore1270	True	True
Folopa	ppo	folo1238	True	True
Falam Chin	cfm	fala1243	True	True
Etruscan	ett	etru1241	True	True
Ese Ejja	ese	esee1248	True	True
Epigraphic Mayan	emy	epig1241	True	True
Epena	sja	epen1239	True	True
Emerillon	eme	emer1243	True	True
Emberá-Catío	cto	embe1260	True	True
Edolo	etr	edol1239	True	True
Eastern Tamang	taj	east2347	True	True
Eastern Newari	NOCODE_Dolakha-Newari	east2773	True	True
Eastern Canadian Inuktitut	ike	east2534	True	True
Eastern Arrernte	aer	east2379	True	True
East Makian	mky	east2440	True	True
Dyangadi	dyn	dyan1250	True	True
Dyaabugay	dyy	dyaa1242	True	True
Duri	mvp	duri1242	True	True
Dura	drq	dura1244	True	True
Dupaninan Agta	duo	dupa1235	True	True
Dungar Varli	vav	varl1238	True	True
Dumi	dus	dumi1241	True	True
Duhumbi	cvg	chug1252	True	True
Dogrib	dgr	dogr1252	True	True
Dobel	kvo	dobe1238	True	True
Djingili	jig	djin1251	True	True
Dirasha	gdl	dira1242	True	True
Dieri	dif	dier1241	True	True
Dhimal	dhi	dhim1246	True	True
Dharumbal	xgm	dhar1248	True	True
Dhangu	dhg	dhan1270	True	True
Dhalandji	dhl	dhal1245	True	True
Dazaga	dzg	daza1242	True	True
Darma	drd	darm1243	True	True
Darai	dry	dara1250	True	True
Dameli	dml	dame1241	True	True
Dakpakha	dka	dakp1242	True	True
Daats'iin	dtn	daat1234	True	True
Daai Chin	dao	daai1236	True	True
Cupeño	cup	cupe1243	True	True
Culina	cul	culi1244	True	True
Crow	cro	crow1244	True	True
Comox	coo	como1259	True	True
Columbia-Wenatchi	col	colu1241	True	True
Coeur d'Alene	crd	coeu1236	True	True
Cocama-Cocamilla	cod	coca1259	True	True
Cicipu	awc	cici1237	True	True
Chácobo	cao	chac1251	True	True
Chukchi	ckt	chuk1273	True	True
Cholti	NOCODE_Cholti	chol1283	True	True
Chol	ctu	chol1282	True	True
Chocangacakha	cgk	choc1275	True	True
Chitwania Tharu	the	chit1274	True	True
Chimalapa Zoque	zoh	chim1300	True	True
Chechen	che	chec1245	True	True
Chantyal	chx	chan1310	True	True
Central Siberian Yupik	ess	cent2128	True	True
Central Sama	sml	cent2092	True	True
Central Ojibwa	ojc	cent2136	True	True
Central Lembata-Lewokukun	lvu	levu1239	True	True
Central Alaskan Yupik	esu	cent2127	True	True
Cavineña	cav	cavi1250	True	True
Cashibo-Cacataibo	cbr	cash1251	True	True
Caribbean Hindustani	hns	cari1275	True	True
Camarines Norte Agta	abd	cama1250	True	True
Burushaski	bsk	buru1296	True	True
Buru (Indonesia)	mhs	buru1303	True	True
Bunan	bfu	gahr1239	True	True
Bunaba	bck	buna1275	True	True
Bumthangkha	kjz	bumt1240	True	True
Bularnu	NOCODE_Bularnu	bula1255	True	True
Bujhyal	byh	bujh1238	True	True
Buginese	bug	bugi1244	True	True
Budukh	bdk	budu1248	True	True
Brokskat	bkk	brok1247	True	True
Boro (Ethiopia)	bwo	boro1277	True	True
Bo-Ung	mux	boun1245	True	True
Biwat	bwm	biwa1243	True	True
Biri	bzr	biri1256	True	True
Bilua	blb	bilu1245	True	True
Bierebo	bnk	bier1244	True	True
Bhoti Kinnauri	nes	bhot1235	True	True
Bezhta	kap	bezh1248	True	True
Beria	zag	zagh1240	True	True
Bench	bcq	benc1235	True	True
Bella Coola	blc	bell1243	True	True
Belhariya	byw	belh1239	True	True
Belep	yly	nyal1254	True	True
Belanda Bor	bxb	bela1256	True	True
Bayungu	bxj	bayu1240	True	True
Bauzi	bvz	bauz1241	True	True
Baure	brg	baur1253	True	True
Bats	bbl	bats1242	True	True
Basque	eus	basq1248	True	True
Barranbinya	NOCODE_Barranbinya	barr1252	True	True
Bardi	bcj	bard1255	True	True
Barain	bva	bare1279	True	True
Baraamu	brd	bara1357	True	True
Banggarla	bjb	bang1339	True	True
Bambam	ptu	bamb1270	True	True
Balinese	ban	bali1278	True	True
Balanta-Ganja	bjt	bala1302	True	True
Balangingi	sse	bala1311	True	True
Bahing	bhj	bahi1252	True	True
Bagri	bgq	bagr1243	True	True
Badimaya	bia	badi1246	True	True
Babine	bcr	babi1235	True	True
Awetí	awe	awet1244	True	True
Awa-Cuaiquer	kwi	awac1239	True	True
Avar	ava	avar1256	True	True
Athpariya	aph	athp1241	True	True
Arta	atz	arta1239	True	True
Arikara	ari	arik1262	True	True
Arhuaco	arh	arhu1242	True	True
Archi	aqc	arch1244	True	True
Araona	aro	arao1248	True	True
Arammba	stk	aram1253	True	True
Anta-Komnzo-Wára-Wérè	tci	wara1294	True	True
Anguthimri	awg	angu1242	True	True
Amur Nivkh	niv	gily1242	True	True
Amis	ami	amis1246	True	True
Ami	amy	amii1238	True	True
Amele	aey	amel1241	True	True
Amdo Tibetan	adx	amdo1237	True	True
Amanab	amn	aman1265	True	True
Amahuaca	amc	amah1246	True	True
Ama (Papua New Guinea)	amm	amap1240	True	True
Alutor	alr	alut1245	True	True
Akuntsu	aqz	akun1241	True	True
Akoye	miw	akoy1238	True	True
Akhvakh	akv	akhv1239	True	True
Akawaio	ake	akaw1239	True	True
Akateko	knj	west2635	True	True
Aimele	ail	aime1238	True	True
Aguacateco	agu	agua1252	True	True
Agob	kit	agob1244	True	True
Aghwan	xag	aghw1237	True	True
Aghu Tharnggalu	ggr	aghu1254	True	True
Adyghe	ady	adyg1241	True	True
Abun	kgr	abun1252	True	True
Abenlen Ayta	abp	aben1249	True	True
Abaza	abq	abaz1241	True	True
Abawiri	flh	foau1240	True	True
Ömie	aom	omie1241	False	True
Àhàn	ahn	ahan1244	False	True
Zulgo-Gemzek	gnd	zulg1242	False	True
Zialo	zil	zial1235	False	True
Zbu	NOCODE_Zbu	zbua1234	False	True
Zauzou	zal	zauz1238	False	True
Zaiwa	atb	zaiw1241	False	True
Yuchi	yuc	yuch1247	False	True
Yoy	yoy	yoyy1238	False	True
Yongning Na	nru	yong1270	False	True
Yonggom	yon	yong1280	False	True
Yokuts	yok	yoku1256	True	False
Yintyinka-Ayabadhu	ayd	ayab1239	False	True
Ye'kwana	mch	maqu1238	False	True
Yaygir	xya	yayg1236	False	True
Yaweyuha	yby	yawe1241	False	True
Yau (Morobe Province)	yuw	yaum1237	False	True
Yaqui	yaq	yaqu1251	True	False
Yapese	yap	yape1248	True	False
Yanyuwa	jao	yany1243	False	True
Yana	ynn	yana1271	True	False
Yami	tao	yami1254	False	True
Yagnobi	yai	yagn1238	True	False
Yagaria	ygr	yaga1260	False	True
Wutunhua	wuh	wutu1241	False	True
Wunambal	wub	wuna1249	False	True
Wotu	wtw	wotu1240	True	False
Wolaytta	wal	wola1242	True	False
Woi	wbw	woii1237	False	True
Wik-Ngathana	wig	wikn1245	False	True
Wik-Mungkan	wim	wikm1247	False	True
Western Xiangxi Miao	mmr	west2430	False	True
Western Victoria	NOCODE_Western-Victoria	west2443	False	True
Western Puroik	NOCODE_Western-Puroik	west2873	False	True
Western Ojibwa	ojw	west1510	True	False
Western Keres	kjq	west2632	True	False
Western Highland Chatino	ctp	west2644	False	True
Western Dani	dnw	west2594	False	True
