Language	ISO 639-3	Glottocode	verbal_number
Tehit	kps	tehi1237	False
Tedim Chin	ctd	tedi1235	False
Tebul Ure Dogon	dtu	tebu1239	False
Teanu	tkw	tean1237	False
Tboli	tbl	tbol1240	False
Tayo	cks	tayo1238	False
Tayart Tamajeq	thz	taya1257	False
Tawra	mhu	diga1241	False
Tawallammat Tamajaq	ttq	tawa1286	False
Tawala	tbo	tawa1275	False
Tauya	tya	tauy1241	False
Tausug	tsg	taus1251	False
Taulil	tuh	taul1251	False
Tatuyo	tav	tatu1247	False
Tatar	tat	tata1255	False
Tatana	txx	tata1257	False
Tataltepec Chatino	cta	tata1258	False
Tasawaq	twq	tasa1240	False
Tarok	yer	taro1263	False
Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	rif	tari1263	False
Tariana	tae	tari1256	False
Tarao	tro	tara1313	False
Tapieté	tpj	tapi1253	False
Taos Northern Tiwa	twf	nort1550	False
Tanzanian Ngoni	xnj	tanz1241	False
Tanudan Kalinga	kml	lowe1412	False
Tanimuca-Retuarã	tnc	tani1257	False
Tangwang	NOCODE_Tangwang	tang1373	False
Tangut	txg	tang1334	False
Tangam	NOCODE_Tangam	tang1377	False
Tangale	tan	nucl1696	False
Tanaina	tfn	tana1289	False
Tanacross	tcb	tana1290	False
Tamil	tam	tami1289	False
Tamasheq	taq	tama1365	False
Tamambo	mla	malo1243	False
Talise	tlr	tali1259	False
Talaud	tld	tala1285	False
Talaandig-Binukid	bkd	binu1244	False
Takuu	nho	taku1257	False
Takia	tbc	taki1248	False
Takestani	tks	take1255	False
Takelma	tkm	take1257	False
Tajio	tdj	taji1246	False
Tajik	tgk	taji1245	False
Taita	dav	tait1250	False
Tairuma	uar	tair1256	False
Tainae	ago	tain1253	False
Taiga Sayan Turkic	kim	kara1462	False
Taiap	gpn	taia1239	False
Tai Laing	tjl	tail1248	False
Tai Dón	twh	taid1250	False
Tai Dam	blt	taid1247	False
Tahltan	tht	tahl1239	False
Tahitian	tah	tahi1242	False
Tahaggart Tamahaq	thv	taha1241	False
Tagoi	tag	tago1246	False
Tagish	tgx	tagi1240	False
Tagin	tgj	tagi1241	False
Tagdal	tda	tagd1238	False
Tagbanwa	tbw	tagb1258	False
Tagalog	tgl	taga1270	False
Tagabawa	bgs	taga1272	False
Tafi	tcd	tafi1243	False
Tadaksahak	dsq	tada1238	False
Tachelhit	shi	tach1250	False
Tacana	tna	taca1256	False
Tabo	knv	tabo1241	False
Tabla	tnm	tabl1243	False
Tabasco Chontal	chf	taba1266	False
Tabaru	tby	taba1263	False
Ta'izzi-Adeni Arabic	acq	taiz1242	False
T'apo	lgn	opuu1239	False
Sô	sss	sooo1254	False
Sìcìté Sénoufo	sep	sici1249	False
Sãotomense	cri	saot1239	False
Sylheti	syl	sylh1242	False
Sydney	xdk	sydn1236	False
Syan	NOCODE_Syan	syan1242	False
Swedish	swe	swed1254	False
Swati	ssw	swat1243	False
Swampy Cree	csw	swam1239	False
Swahili	swh	swah1253	False
Swabian	swg	swab1242	False
Svan	sva	svan1243	False
Susu	sus	susu1250	False
Sursurunga	sgz	surs1246	False
Surigaonon	sgd	suri1273	False
Surgut Khanty	NOCODE_Surgut-Khanty	surg1248	False
Supyire Senoufo	spp	supy1237	False
Sunwar	suz	sunw1242	False
Sundanese	sun	sund1252	False
Sumi Naga	nsm	sumi1235	False
Sumerian	sux	sume1241	False
Sumbawa	smw	sumb1241	False
Sumayela Ndebele	NOCODE_Sumayela-Ndebele	sout2808	False
Sulka	sua	sulk1246	False
Sula	szn	sula1248	False
Sukur	syk	suku1272	False
Sui	swi	suii1243	False
Suena	sue	suen1241	False
Sudest	tgo	sude1239	False
Sudanese Creole Arabic	pga	suda1237	False
Sudanese Arabic	apd	suda1236	False
Sud Oranais-Gourara	grr	tazn1238	False
Subtiaba	sut	subt1250	False
Subiya	sbs	subi1246	False
Suba-Simbiti	ssc	suba1252	False
Suba	sxb	suba1238	False
Suabo	szp	suab1238	False
Stoney	sto	ston1242	False
Stod Bhoti	sbu	stod1241	False
Stau-Dgebshes	ero	horp1239	False
Standard Malay	zsm	stan1306	False
Standard Indonesian	ind	indo1316	False
Standard Arabic	arb	stan1318	False
Sri Lanka Malay	sci	sril1245	False
Sranan Tongo	srn	sran1240	False
Squamish	squ	squa1248	False
Spokane	spo	spok1245	False
Spiti Bhoti	spt	spit1240	False
Spanish	spa	stan1288	False
Southwestern Dinka	dik	sout2832	False
Southwestern Dargwa	NOCODE_Southwestern-Dargwa	sout3261	False
Southwest Tanna	nwi	sout2869	False
Southern-Coastal Tsimshian	tsi	nucl1649	False
Southern Yukaghir	yux	sout2750	False
Southern Tutchone	tce	sout2957	False
Southern Tiwa	tix	sout2961	False
Southern Tangkhul Naga	NOCODE_Southern-Tangkhul	khan1277	False
Southern Sotho	sot	sout2807	False
Southern Sierra Miwok	skd	sout2985	False
Southern Sama	ssb	sout2918	False
Southern Rengma Naga	nre	sout2732	False
Southern Qiang	qxs	sout2728	False
Southern Pumi	pmj	sout2729	False
Southern Puget Sound Salish	slh	sout2965	False
Southern Pomo	peq	sout2984	False
Southern Pashto	pbt	sout2649	False
Southern Pame	pmz	sout2999	False
Southern Nambikuára	nab	sout2994	False
Southern Kiwai	kjd	sout2949	False
Southern Kisi	kss	sout2778	False
Southern Jinghpaw	kac	kach1280	False
Southern Haida	hax	sout2956	False
Southern Gumuz	NOCODE_Southern-Gumuz	sout3236	False
Southern Grebo	grj	sout2826	False
Southern Ghale	ghe	sout2715	False
Southern Dong	kmc	sout2741	False
Southern Conchucos Ancash Quechua	qxo	sout2992	False
Southern Bobo Madaré	bwq	sout2840	False
Southern Balochi	bcc	sout2642	False
Southern Bai	bfs	sout2730	False
Southern Aymara	ayc	sout2996	False
Southern Amami-Oshima	ams	sout2954	False
Southern Altai	alt	sout2694	False
Southern Alta	agy	sout2905	False
Southeastern Tepehuan	stp	sout2976	False
Southeastern Pomo	pom	sout2982	False
Southeastern Kolami	nit	sout1549	False
Southeast Pashayi	psi	sout2672	False
Southeast Ijo	ijs	sout2774	False
Southeast Ambrym	tvk	sout2859	False
South-Eastern Ju	ktz	juho1239	False
South-Central Koongo	kng	koon1244	False
South Wa	prk	para1301	False
South Nuaulu	nxl	sout2895	False
South Levantine Arabic	ajp	sout3123	False
South Fali	fal	sout2782	False
South Efate	erk	sout2856	False
South Bolivian Quechua	quh	sout2991	False
South Azerbaijani	azb	sout2697	False
Sougb	mnx	mani1235	False
Sorkhei	sqo	sork1239	False
Sora	srb	sora1254	False
Soqotri	sqt	soqo1240	False
Soo	teu	sooo1256	False
Sonsorol	sov	sons1242	False
Somali	som	soma1255	False
Solu-Khumbu Sherpa	xsr	sher1255	False
Soli	sby	soli1239	False
Soic	soj	soii1239	False
Sogdian	sog	sogd1245	False
Soga	xog	soga1242	False
Sochiapam Chinantec	cso	soch1239	False
Sobei	sob	sobe1238	False
So (Democratic Republic of Congo)	soc	sode1235	False
