Language	ISO 639-3	Glottocode	coordination	serial_verb	verb_serialization	yuxtaposition
Central Romani	rmc	carp1235	True	True	False	True
Central Lembata-Lewokukun	lvu	levu1239	True	True	False	True
Central Dagaare	dga	sout2789	True	True	True	False
Central Chong	NOCODE_Central-Chong	cent2314	True	True	False	True
Cashibo-Cacataibo	cbr	cash1251	True	True	False	True
Caribbean Javanese	jvn	cari1276	False	True	True	True
Cao Miao	cov	caom1238	True	True	False	True
Caac	msq	caac1237	True	True	False	True
Busoa	bup	buso1238	True	True	False	True
Burji	bji	burj1242	True	False	True	True
Burarra	bvr	bura1267	True	True	True	False
Buli (Ghana)	bwu	buli1254	True	True	False	True
Bujhyal	byh	bujh1238	True	True	False	True
Bugan	bbh	buga1247	True	True	True	False
Bororo	bor	boro1282	True	True	False	True
Boro (Ethiopia)	bwo	boro1277	True	True	True	False
Bola	bnp	bola1250	True	True	False	True
Batuley	bay	batu1258	True	True	False	True
Batanga	bnm	bata1285	True	True	False	True
Baruga	bjz	baru1269	True	True	True	False
Barai	bbb	nucl1630	True	True	False	True
Baoulé	bci	baou1238	True	True	False	True
Bannoni	bcm	bann1247	True	False	True	True
Bangime	dba	bang1363	True	True	False	True
Bandi	bza	band1352	True	True	True	False
Bambili-Bambui	baw	bamb1266	True	False	True	True
Balantak	blz	bala1315	True	True	False	True
Bafut	bfd	bafu1246	True	True	True	False
Badimaya	bia	badi1246	True	False	True	True
Baa	kwb	kwaa1262	True	True	False	True
Awutu	afu	awut1241	True	True	True	False
Awngi	awn	awng1244	True	False	True	True
Awetí	awe	awet1244	True	True	False	True
Awad Bing	bcu	awad1244	False	True	True	True
Avatime	avn	avat1244	True	True	False	True
Auye	auu	auye1238	True	True	False	True
Atayal	tay	atay1247	True	True	True	False
Arop-Lokep	apr	arop1243	True	False	True	True
Araki	akr	arak1252	True	True	True	False
Apalaí	apy	apal1257	True	True	False	True
Angolar	aoa	ango1258	True	True	False	True
Anamuxra	imi	anam1248	False	True	True	True
Amkoe	huc	hoaa1235	True	True	False	True
Alorese	aol	alor1247	True	True	False	True
Alamblak	amp	alam1246	True	True	True	False
Akuntsu	aqz	akun1241	True	True	False	True
Akoose	bss	akoo1248	True	True	False	True
Akateko	knj	west2635	True	True	False	True
Aimele	ail	aime1238	True	True	False	True
Aguaruna	agr	agua1253	True	True	False	True
Aghu	ahh	aghu1255	True	True	False	True
Adonara	adr	adon1237	False	True	True	True
Abun	kgr	abun1252	True	True	False	True
Abui	abz	abui1241	False	True	True	True
Abawiri	flh	foau1240	True	True	False	True
Abau	aau	abau1245	True	True	False	True
Zuni	zun	zuni1245	True	False	False	True
Zenzontepec Chatino	czn	zenz1235	True	False	False	True
Zemba	dhm	zemb1238	False	True	False	True
Yuracaré	yuz	yura1255	True	True	False	False
Yulparija	NOCODE_Yulparija	yulp1239	True	False	False	True
Yukuben	ybl	yuku1243	True	True	False	False
Yuki	yuk	yuki1243	True	True	False	False
Yucuna	ycn	yucu1253	True	False	False	True
Yosondúa Mixtec	mpm	yoso1239	True	False	False	True
Yongning Na	nru	yong1270	True	True	False	False
Yindjibarndi	yij	yind1247	True	False	False	True
Yidiny	yii	yidi1250	True	False	False	True
Yeyi	yey	yeyi1239	True	False	False	True
Yemsa	jnj	yems1235	True	False	False	True
Yele	yle	yele1255	True	False	False	True
Ye'kwana	mch	maqu1238	True	False	False	True
Yaygir	xya	yayg1236	True	False	False	True
Yawuru	ywr	yawu1244	True	False	False	True
Yauyos Quechua	qux	yauy1235	True	False	False	True
Yaqui	yaq	yaqu1251	True	False	False	True
Yanda Dom Dogon	dym	yand1257	True	False	False	True
Yamphu	ybi	yamp1242	True	False	False	True
Yaminahua	yaa	yami1256	True	False	False	True
Yalarnnga	ylr	yala1262	True	True	False	False
Yakan	yka	yaka1277	True	True	False	False
Yaeyama	rys	yaey1239	True	False	False	True
Xishanba Lalo	ywt	xish1235	True	False	False	True
Xamtanga	xan	xamt1239	True	False	False	True
Wubuy	nuy	nung1290	True	False	False	True
Worrorra	wro	worr1237	True	False	False	True
Wolane	wle	wola1253	True	False	False	True
Wiyot	wiy	wiyo1248	True	False	False	True
Wirangu	wgu	wira1265	True	False	True	False
Wik-Mungkan	wim	wikm1247	True	False	False	True
Western Juxtlahuaca Mixtec	jmx	west2643	True	True	False	False
Western Balochi	bgn	west2368	True	False	False	True
West Kewa	kew	west2599	True	False	False	True
Weri	wer	weri1253	True	False	False	True
Wayu	vay	wayu1241	True	False	False	True
Wawa	www	wawa1246	True	True	False	False
Waurá	wau	waur1244	True	False	False	True
Warungu	wrg	waru1264	True	False	False	True
Warluwara	wrb	warl1256	True	False	False	True
Warlmanpa	wrl	warl1255	True	True	False	False
Warembori	wsa	ware1253	False	True	False	True
Wardaman	wrr	ward1246	True	False	False	True
Wappo	wao	wapp1239	True	False	False	True
Wandamen	wad	wand1267	True	False	False	True
Wanam Yelmek	NOCODE_Wanam	wana1273	True	False	False	True
Wakhi	wbl	wakh1245	True	False	False	True
Wakawaka	wkw	waka1274	True	False	False	True
Waiwai	waw	waiw1244	True	False	False	True
Waima'a	wmh	waim1252	False	True	True	False
Wageman	waq	wage1238	False	True	True	False
Vera'a	vra	vera1241	True	True	False	False
Vamale	mkt	vama1243	True	True	False	False
Vaiphei	vap	vaip1239	True	True	False	False
Vagla	vag	vagl1239	True	False	False	True
Vach-Vasjugan	NOCODE_Vach-Vasjugan	fare1244	True	False	False	True
Usarufa	usa	usar1243	True	False	False	True
Urubú-Kaapor	urb	urub1250	True	False	False	True
Uru	ure	uruu1244	True	False	False	True
Umbu-Ungu	ubu	umbu1258	False	True	False	True
Ulwa (Papua New Guinea)	yla	yaul1241	True	True	False	False
Ulithian	uli	ulit1238	True	False	False	True
Ugong	ugo	ugon1239	False	True	True	False
Ugaritic	uga	ugar1238	True	False	False	True
Udmurt	udm	udmu1245	True	False	False	True
Udihe	ude	udih1248	True	False	False	True
Ubykh	uby	ubyk1235	True	False	False	True
Tuscarora	tus	tusc1257	True	True	False	False
Turkish	tur	nucl1301	True	False	False	True
Tunisian-Zuwara Berber	NOCODE_Tunisian-Zuwara	tuni1262	True	False	False	True
Tunica	tun	tuni1252	True	False	False	True
Tuki	bag	tuki1240	True	True	False	False
Tshobdun	NOCODE_Tshobdun	tsho1240	True	True	False	False
Tsafiki	cof	colo1256	False	True	True	False
Trió	tri	trio1238	True	False	False	True
Touo	tqu	touo1238	False	True	True	False
Torres Strait Creole	tcs	torr1261	False	True	False	True
Toro So Dogon	dts	toro1252	True	True	False	False
Tomo Kan Dogon	dtm	tomo1243	True	False	False	True
Tommo So Dogon	dto	tomm1242	True	False	False	True
Tolomako	tlm	tolo1255	True	False	True	False
Tobelo	tlb	tobe1252	True	False	False	True
Tobagonian Creole English	tgh	toba1282	False	True	False	True
Tiwi	tiw	tiwi1244	True	False	False	True
Thayore	thd	thay1249	True	False	False	True
Thao	ssf	thao1240	True	True	False	False
Thangal Naga	nki	than1255	True	False	False	True
Tepeuxila Cuicatec	cux	tepe1280	True	False	False	True
Tennet	tex	tenn1246	True	True	False	False
Tengou-Togo Dogon	dtk	tene1248	True	False	False	True
Telefol	tlf	tele1256	True	False	False	True
Tataltepec Chatino	cta	tata1258	True	False	False	True
Tarok	yer	taro1263	False	True	False	True
Tangam	NOCODE_Tangam	tang1377	True	False	False	True
Tajik	tgk	taji1245	True	False	False	True
Tainae	ago	tain1253	True	True	False	False
Taiga Sayan Turkic	kim	kara1462	True	False	False	True
Tadaksahak	dsq	tada1238	True	False	False	True
