Language	ISO 639-3	Glottocode	adverbial_clause	complement_clause	nominalization	relative_clause	subordination
Kaike	kzq	kaik1246	True	True	True	True	True
Kado	kdv	kado1242	True	True	True	True	True
Kachama-Ganjule-Haro	kcx	kach1284	True	True	True	True	True
Kaba	ksp	kaba1281	True	True	True	True	True
Judeo-Moroccan Arabic	aju	jude1265	True	True	True	True	True
Jamsay Dogon	djm	jams1239	True	True	True	True	True
Jambi Malay	jax	jamb1236	True	True	True	True	True
Itzá	itz	itza1241	True	True	True	True	True
Imbabura Highland Quichua	qvi	imba1240	True	True	True	True	True
Iatmul	ian	iatm1242	True	True	True	True	True
Hup	jup	hupd1244	True	True	True	True	True
Humburi Senni Songhay	hmb	humb1243	True	True	True	True	True
Huambisa	hub	huam1247	True	True	True	True	True
Huallaga Huánuco Quechua	qub	hual1241	True	True	True	True	True
Hinuq	gin	hinu1240	True	True	True	True	True
Hdi	xed	hdii1240	True	True	True	True	True
Gyele	gyi	gyel1242	True	True	True	True	True
Guiqiong	gqi	guiq1238	True	True	True	True	True
Golin	gvf	goli1247	True	True	True	True	True
Girirra	gii	giri1245	True	True	True	True	True
Ghanongga	ghn	ghan1242	True	True	True	True	True
Gedeo	drs	gede1246	True	True	True	True	True
Gayo	gay	gayo1244	True	True	True	True	True
Gamo	gmv	gamo1243	True	True	True	True	True
Gagauz	gag	gaga1249	True	True	True	True	True
Forest Enets	enf	fore1265	True	True	True	True	True
Fon	fon	fonn1241	True	True	True	True	True
Falam Chin	cfm	fala1243	True	True	True	True	True
Ese Ejja	ese	esee1248	True	True	True	True	True
Ersu	ers	ersu1241	True	True	True	True	True
Epena	sja	epen1239	True	True	True	True	True
Emai-Iuleha-Ora	ema	emai1241	True	True	True	True	True
El Nayar Cora	crn	elna1235	True	True	True	True	True
Eipomek	eip	eipo1242	True	True	True	True	True
Eastern Oromo	hae	east2652	True	True	True	True	True
Eastern Newari	NOCODE_Dolakha-Newari	east2773	True	True	True	True	True
Eastern Lawa	lwl	east2330	True	True	True	True	True
Eastern Arrernte	aer	east2379	True	True	True	True	True
East Kewa	kjs	east2516	True	True	True	True	True
