Language	ISO 639-3	Glottocode	object_agreement	subject_agreement	subject_indexing
Sonsorol	sov	sons1242	True	True	False
Soga	xog	soga1242	True	True	False
Sochiapam Chinantec	cso	soch1239	True	True	False
Skou	skv	nucl1634	True	True	False
Siwi	siz	siwi1239	True	True	False
Situ	tzi	situ1238	True	True	False
Siroi	ssd	siro1249	True	True	False
Sirajic	NOCODE_Sirajic	sira1263	True	True	False
Sipacapense	qum	sipa1247	True	True	False
Sindhi	snd	sind1272	True	True	False
Sinaugoro	snc	sina1266	True	True	False
Silacayoapan Mixtec	mks	sila1250	True	True	False
Sierra de Juárez Zapotec	zaa	sier1250	True	True	False
Shipibo-Conibo	shp	ship1254	True	True	False
Shi	shr	shii1238	True	True	False
Shekhawati	swv	shek1243	True	True	False
Shawi	cbt	chay1248	True	True	False
Shabo	sbf	shab1252	True	True	False
Serrano	ser	serr1255	True	True	False
Seri	sei	seri1257	True	True	False
Senthang Chin	sez	sent1260	True	True	False
Senhaja De Srair	sjs	senh1238	True	True	False
Selk'nam	ona	onaa1245	True	True	False
Selee	snw	sele1249	True	True	False
Selayar	sly	sela1260	True	True	False
Selaru	slu	sela1259	True	True	False
Sekpele	lip	sekp1241	True	True	False
Sebat Bet Gurage	sgw	seba1251	True	True	False
Savosavo	svs	savo1255	True	True	False
Savi	sdg	savi1242	True	True	False
Sarsi	srs	sars1236	True	True	False
Saraiki	skr	sera1259	True	True	False
Saposa	sps	sapo1253	True	True	False
Santa María Quiegolani Zapotec	zpi	sant1451	True	True	False
Sandawe	sad	sand1273	True	True	False
Sanaani Arabic	ayn	sana1295	True	True	False
San Francisco del Mar Huave	hue	sanf1258	True	True	False
Samburu	saq	samb1315	True	True	False
Salka-Tsishingini	tsw	tsis1238	True	True	False
Saliba	sbe	sali1295	True	True	False
Sakha	sah	yaku1245	True	True	False
Sahu	saj	sahu1245	True	True	False
Sacapulteco	quv	saca1238	True	True	False
Sabanê	sae	saba1268	True	True	False
Saamia	lsm	saam1283	True	True	False
Sa	sax	saaa1241	True	True	False
Ruund	rnd	ruun1238	True	True	False
Russian	rus	russ1263	True	True	False
Rundi	run	rund1242	True	True	False
Rukai	dru	ruka1240	True	True	False
Roviana	rug	rovi1238	True	True	False
Romanian	ron	roma1327	True	True	False
Romagnol	rgn	roma1328	True	True	False
Rayón Zoque	zor	rayo1235	True	True	False
Rawang	raw	rawa1265	True	True	False
Rawa	rwo	rawa1267	True	True	False
Rana Tharu	thr	rana1246	True	True	False
Raji	rji	raji1240	True	True	False
Quiotepec Chinantec	chq	quio1240	True	True	False
Purepecha	tsz	pure1242	True	True	False
Puma	pum	puma1239	True	True	False
Pukapuka	pkp	puka1242	True	True	False
Poqomam	poc	poqo1253	True	True	False
Pnar	pbv	pnar1238	True	True	False
Pirahã	myp	pira1253	True	True	False
Pinotepa Nacional Mixtec	mio	pino1237	True	True	False
Pingelapese	pif	ping1243	True	True	False
Pimbwe	piw	pimb1238	True	True	False
Pima Bajo	pia	pima1248	True	True	False
Pilagá	plg	pila1245	True	True	False
Pijin	pis	piji1239	True	True	False
Piaroa	pid	piar1243	True	True	False
