Language	ISO 639-3	Glottocode	liquid
Southeastern Pomo	pom	sout2982	True
Southeastern Kolami	nit	sout1549	True
Southeast Pashayi	psi	sout2672	True
Southeast Ijo	ijs	sout2774	True
Southeast Ambrym	tvk	sout2859	True
South-Central Koongo	kng	koon1244	True
South Wa	prk	para1301	True
South Nuaulu	nxl	sout2895	True
South Efate	erk	sout2856	True
South Bolivian Quechua	quh	sout2991	True
South Azerbaijani	azb	sout2697	True
Sougb	mnx	mani1235	True
Sorkhei	sqo	sork1239	True
Sora	srb	sora1254	True
Soo	teu	sooo1256	True
Sonsorol	sov	sons1242	True
Solu-Khumbu Sherpa	xsr	sher1255	True
Soga	xog	soga1242	True
Sochiapam Chinantec	cso	soch1239	True
Sobei	sob	sobe1238	True
Slovenian	slv	slov1268	True
Slovak	slk	slov1269	True
Skou	skv	nucl1634	True
Skolt Sami	sms	skol1241	True
Siwu	akp	siwu1238	True
Siwi	siz	siwi1239	True
Siwai	siw	siwa1245	True
Situ	tzi	situ1238	True
Sisiqa	NOCODE_Sisiqa	sisi1250	True
Sirva	sbq	sile1255	True
Siroi	ssd	siro1249	True
Sirionó	srq	siri1273	True
Siraya	fos	sira1267	True
Sirajic	NOCODE_Sirajic	sira1263	True
Sipacapense	qum	sipa1247	True
Siona-Tetete	snn	sion1247	True
Sinhala	sin	sinh1246	True
Sindhi	snd	sind1272	True
Sinaugoro	snc	sina1266	True
Sinasina	sst	sina1271	True
Simte	smt	simt1238	True
Simbo	sbb	simb1256	True
Silacayoapan Mixtec	mks	sila1250	True
Sikkimese	sip	sikk1242	True
Sikaiana	sky	sika1261	True
Sika	ski	sika1262	True
Sierra de Juárez Zapotec	zaa	sier1250	True
Sie	erg	siee1239	True
Sidamo	sid	sida1246	True
Sichuan Yi	iii	sich1238	True
Siar-Lak	sjr	siar1238	True
Siane	snp	sian1257	True
Siamou	sif	siam1242	True
Shumashti	sts	shum1235	True
Shughni	sgh	shug1248	True
Shuar	jiv	shua1257	True
Shoshoni	shh	shos1248	True
Shona	sna	shon1251	True
Sholaga	sle	shol1240	True
Shipibo-Conibo	shp	ship1254	True
Shina	scl	shin1264	True
Shilluk	shk	shil1265	True
Shihhi Arabic	ssh	shih1239	True
Shi	shr	shii1238	True
Sherdukpen	sdp	sher1257	True
Sherbro	bun	sher1258	True
Sheko	she	shek1245	True
Shekhawati	swv	shek1243	True
Shawnee	sjw	shaw1249	True
Shawi	cbt	chay1248	True
Shasta	sht	shas1239	True
Shahrudi	shm	shah1254	True
Shabo	sbf	shab1252	True
Seze	sze	seze1235	True
Severn Ojibwa	ojs	seve1240	True
Serudung Murut	srk	seru1246	True
Serrano	ser	serr1255	True
Seri	sei	seri1257	True
Sereer	srr	sere1260	True
Serbian-Croatian-Bosnian	hbs	sout1528	True
Senthang Chin	sez	sent1260	True
Sentani	set	nucl1632	True
Senhaja De Srair	sjs	senh1238	True
Senari	sef	ceba1235	True
Sena	seh	nucl1396	True
Semelai	sza	seme1247	True
Semaq Beri	szc	sema1265	True
Semai	sea	sema1266	True
Selkup	sel	selk1253	True
Selk'nam	ona	onaa1245	True
Selepet	spl	sele1250	True
Selee	snw	sele1249	True
Selayar	sly	sela1260	True
Sekpele	lip	sekp1241	True
Seke (Vanuatu)	ske	seke1241	True
Seke (Nepal)	skj	seke1240	True
Seimat	ssg	seim1238	True
Seediq	trv	taro1264	True
Sedang	sed	seda1262	True
Sebat Bet Gurage	sgw	seba1251	True
Sea Island Creole English	gul	gull1241	True
Scottish Gaelic	gla	scot1245	True
Scots	sco	scot1243	True
Sayula Popoluca	pos	sayu1241	True
Saya	say	saya1246	True
Sawila	swt	sawi1256	True
Sawai	szw	sawa1247	True
Savosavo	svs	savo1255	True
Sauria Paharia	mjt	saur1249	True
Saurashtra	saz	saur1248	True
Satawalese	stw	sata1237	True
Sartang	onp	sart1249	True
Sarsi	srs	sars1236	True
Sarangani Manobo	mbs	sara1327	True
Sarangani Blaan	bps	sara1326	True
Saramaccan	srm	sara1340	True
Saraiki	skr	sera1259	True
Sara Kaba Náà	kwv	sara1321	True
Sapuan	spu	sapu1248	True
Sanumá	xsu	sanu1240	True
Santali	sat	sant1410	True
Santa María Quiegolani Zapotec	zpi	sant1451	True
Sanskrit	san	sans1269	True
Sankaran Maninka	msc	sank1253	True
Sangtam Naga	nsa	sang1321	True
Sango	sag	sang1328	True
Sangisari	sgr	sang1315	True
Sanaani Arabic	ayn	sana1295	True
San Miguel El Grande Mixtec	mig	sanm1295	True
San Martín Quechua	qvs	sanm1289	True
San Francisco del Mar Huave	hue	sanf1258	True
San Dionisio del Mar Huave	hve	sand1278	True
San Blas Kuna	cuk	sanb1242	True
San Andres Creole English	icr	sana1297	True
Samoan	smo	samo1305	True
Sambalpuri	spv	samb1325	True
Samba Daka	ccg	samb1311	True
Salka-Tsishingini	tsw	tsis1238	True
Salinan	sln	sali1253	True
Saliba	sbe	sali1295	True
Sakizaya	szy	saki1247	True
Sakha	sah	yaku1245	True
Sakao	sku	saka1289	True
Saisiyat	xsy	sais1237	True
Saidi Arabic	aec	said1239	True
Sahu	saj	sahu1245	True
Saho	ssy	saho1246	True
Sagalla	tga	saga1262	True
Safwa	sbk	safw1238	True
Sadri	sck	sadr1248	True
Sacapulteco	quv	saca1238	True
Sabanê	sae	saba1268	True
Sabaic	xsa	saba1279	True
Sabah Malay	msi	saba1263	True
Saaroa	sxr	saar1237	True
Saamia	lsm	saam1283	True
Sa'a	apb	saaa1240	True
S'gaw Karen	ksw	sgaw1245	True
Réunion Creole French	rcf	reun1238	True
Rwa	rwk	rwaa1238	True
Ruund	rnd	ruun1238	True
Ruuli	ruc	ruul1235	True
Rutul	rut	rutu1240	True
Russian	rus	russ1263	True
Russia Buriat	bxr	russ1264	True
Rundi	run	rund1242	True
Rumu	klq	rumu1243	True
Rukai	dru	ruka1240	True
Ruga	ruh	ruga1238	True
Roviana	rug	rovi1238	True
Rotuman	rtm	rotu1241	True
Rotokas	roo	roto1249	True
Rongpo	rnp	rong1264	True
Rongmei Naga	nbu	rong1266	True
Romansh	roh	roma1326	True
Romanian	ron	roma1327	True
Romagnol	rgn	roma1328	True
Riuk Bekati'	bei	beka1241	True
Ritarungo	rit	rita1239	True
Rio Grande Tewa	tew	tewa1260	True
Rimanggudinhma	zmv	mbar1253	True
Reta	ret	rett1240	True
Resígaro	rgr	resi1247	True
Rennell-Bellona	mnv	renn1242	True
Rendille	rel	rend1243	True
Rembong-Wangka	reb	remb1250	True
Rembarunga	rmb	remb1249	True
Rejang	rej	reja1240	True
Rejang Kayan	ree	reja1241	True
Reel	atu	reel1238	True
Rayón Zoque	zor	rayo1235	True
Rawat	jnl	rawa1264	True
Rawang	raw	rawa1265	True
Ravula	yea	ravu1237	True
Raute	rau	raut1239	True
Ratahan	rth	rata1244	True
Rarotongan	rar	raro1241	True
Rapoisi	kyx	rapo1238	True
Rapanui	rap	rapa1244	True
Rangpuri	rkt	rang1265	True
Rangkas	rgk	rang1266	True
Ramoaaina	rai	ramo1244	True
Rama	rma	rama1270	True
Rakahanga-Manihiki	rkh	raka1237	True
Raji	rji	raji1240	True
Rajbanshi	rjs	rajb1243	True
Rabha	rah	rabh1238	True
Quileute	qui	quil1240	True
Quechan	yum	quec1382	True
Qimant	ahg	qima1242	True
Qashqa'i	qxq	qash1240	True
Qaqet	byx	qaqe1238	True
Q'anjob'al	kjb	qanj1241	True
Pökoot	pko	poko1263	True
Páez	pbb	paez1247	True
Pwo Western Karen	pwo	pwow1235	True
Pwo Eastern Karen	kjp	pwoe1235	True
Puyuma	pyu	puyu1239	True
Purum	pub	puru1266	True
Purik-Sham-Nubra	prx	puri1258	True
Purepecha	tsz	pure1242	True
Pumé	yae	pume1238	True
Puma	pum	puma1239	True
Pular	fuf	pula1262	True
Pulaar	fuc	pula1263	True
Pukapuka	pkp	puka1242	True
Psikye	kvj	psik1239	True
Principense	pre	prin1242	True
Prasun	prn	pras1239	True
Prai	prt	phai1238	True
Pouye	bye	pouy1238	True
Poumei Naga	pmx	poum1235	True
Potawatomi	pot	pota1247	True
Poqomchi'	poh	poqo1254	True
Poqomam	poc	poqo1253	True
Popti'	jac	popt1235	True
Pontic	pnt	pont1253	True
Pondi	lnm	lang1328	True
