Language	ISO 639-3	Glottocode	contrastive_tone	pitch_accent	prosody	tonal_contrast	tonal_system	tone
Yale	nce	yale1246	False	False	True	False	False	True
Yala	yba	yala1263	False	False	False	False	True	True
Yakkha	ybh	yakk1236	False	False	True	False	False	True
Xishanba Lalo	ywt	xish1235	False	False	False	False	True	True
Xiang Chinese	hsn	xian1251	False	False	False	False	True	True
Worrorra	wro	worr1237	False	False	True	False	False	True
Woi	wbw	woii1237	False	False	True	False	False	True
Wiyot	wiy	wiyo1248	False	True	False	False	False	True
Wiru	wiu	wiru1244	True	False	False	False	False	True
Western Parbate Kham	kjl	west2420	False	False	False	False	True	True
Western Lawa	lcp	west2396	False	False	True	False	False	True
Western Karaboro	kza	west2466	False	False	True	False	False	True
Western Juxtlahuaca Mixtec	jmx	west2643	False	False	True	False	False	True
Western Highland Chatino	ctp	west2644	True	False	False	False	False	True
Western Balochi	bgn	west2368	False	False	True	False	False	True
Western Apache	apw	west2615	False	False	True	False	False	True
West Tarangan	txn	west2538	False	False	True	False	False	True
Wayana	way	waya1269	False	False	True	False	False	True
Wawa	www	wawa1246	False	False	False	False	True	True
Wardaman	wrr	ward1246	False	False	True	False	False	True
Wappo	wao	wapp1239	False	True	False	False	False	True
Wanga	lwg	wang1294	False	True	False	False	False	True
Wandala	mfi	wand1278	False	False	False	False	True	True
Vinza	vin	vinz1238	False	False	False	True	False	True
Vengo	bav	veng1238	True	False	False	False	False	True
Vamale	mkt	vama1243	False	False	True	False	False	True
Vaiphei	vap	vaip1239	True	False	False	False	False	True
Vagla	vag	vagl1239	False	False	False	True	False	True
Upper Necaxa Totonac	tku	uppe1275	False	False	True	False	False	True
Uduk	udu	uduk1239	True	False	False	False	False	True
Ubykh	uby	ubyk1235	False	True	True	False	False	False
Tuvalu	tvl	tuva1244	False	False	True	False	False	True
Tunni	tqq	tunn1238	False	True	False	False	False	True
Tunisian-Zuwara Berber	NOCODE_Tunisian-Zuwara	tuni1262	False	False	True	False	False	True
Tuki	bag	tuki1240	False	False	True	False	False	True
Tugen	tuy	tuge1241	False	False	False	False	True	True
Tsat	huq	tsat1238	False	False	False	False	True	True
Tsafiki	cof	colo1256	False	False	True	False	False	True
Ts'ixa	NOCODE_Tsixa	tsix1234	False	False	True	False	False	True
Trió	tri	trio1238	False	False	True	False	False	True
Totontepec Mixe	mto	toto1305	False	False	False	False	True	True
Toposa	toq	topo1242	False	False	True	False	False	True
Tommo So Dogon	dto	tomm1242	False	False	False	False	True	True
Tlahuitoltepec Mixe	mxp	tlah1239	False	False	True	False	False	True
Tirma-Chai	suq	suri1267	True	False	False	False	False	True
Tirax	mme	maee1241	False	False	True	False	False	True
Tiranige Diga Dogon	tde	tira1258	False	False	True	False	False	True
Tigon Mbembe	nza	tigo1236	False	False	False	False	True	True
Thulung	tdh	thul1246	False	False	False	True	False	True
Thayore	thd	thay1249	False	False	True	False	False	True
Thangal Naga	nki	than1255	False	False	False	False	True	True
Terena-Kinikinao-Chane	ter	tere1279	False	False	True	False	False	True
Tepecano	tep	tepe1278	False	True	False	False	False	True
Tengou-Togo Dogon	dtk	tene1248	False	False	True	False	False	True
Tengger	tes	teng1272	False	False	True	False	False	True
Tenetehara	tqb	temb1276	False	False	True	False	False	True
Temi	soz	temi1247	False	True	False	False	False	True
Telefol	tlf	tele1256	False	False	False	False	True	True
Tedim Chin	ctd	tedi1235	True	False	False	False	False	True
Tebul Ure Dogon	dtu	tebu1239	False	False	True	False	False	True
Taulil	tuh	taul1251	False	False	True	False	False	True
Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	rif	tari1263	False	False	True	False	False	True
Tariana	tae	tari1256	False	True	True	False	False	False
Tangwang	NOCODE_Tangwang	tang1373	False	True	False	False	False	True
Tangut	txg	tang1334	False	False	False	False	True	True
Tangam	NOCODE_Tangam	tang1377	False	False	True	False	False	True
Takelma	tkm	take1257	False	True	False	False	False	True
Tajio	tdj	taji1246	False	True	False	False	False	True
Taiga Sayan Turkic	kim	kara1462	False	True	False	False	False	True
Tai Dam	blt	taid1247	False	False	True	False	False	True
Tahltan	tht	tahl1239	False	False	True	False	False	True
Tafi	tcd	tafi1243	False	False	True	False	False	True
T'apo	lgn	opuu1239	True	False	False	False	False	True
Supyire Senoufo	spp	supy1237	False	False	False	False	True	True
Sumayela Ndebele	NOCODE_Sumayela-Ndebele	sout2808	False	False	True	False	False	True
Southern Rengma Naga	nre	sout2732	False	False	True	False	False	True
Southern Pomo	peq	sout2984	False	True	False	False	False	True
Southern Nambikuára	nab	sout2994	False	False	True	False	False	True
Southern Gumuz	NOCODE_Southern-Gumuz	sout3236	True	False	False	False	False	True
Southern Grebo	grj	sout2826	False	False	False	False	True	True
Southern Conchucos Ancash Quechua	qxo	sout2992	False	False	True	False	False	True
Southern Amami-Oshima	ams	sout2954	False	False	True	False	False	True
