Language	ISO 639-3	Glottocode	high-unrounded
Menominee	mez	meno1252	True
Melpa	med	melp1238	True
Melo	mfx	melo1242	True
Mekeo	mek	meke1243	True
Mehek	nux	mehe1243	True
Me'en	mym	meen1242	True
Mbula	mna	mbul1263	True
Mbuk	bpc	mbuk1244	True
Mbugwe	mgz	mbug1242	True
Mbre	mka	mbre1244	True
Mbe	mfo	mbee1249	True
Mbay	myb	mbay1241	True
Mbabaram	vmb	mbab1239	True
Mayogo	mdm	mayo1261	True
Maybrat-Karon	ayz	maib1239	True
Mauwake	mhl	mauw1238	True
Maung	mph	maun1240	True
Matumbi	mgw	matu1259	True
Matsés	mcf	mats1244	True
Matigsalug Manobo	mbt	mati1250	True
Mateq	xem	kemb1249	True
Maskelynes	klv	mask1242	True
Masbatenyo	msb	masb1238	True
Marwari (India)	rwr	marw1260	True
Martu Wangka	mpj	mart1256	True
Marshallese	mah	mars1254	True
Marithiel	mfr	mari1424	True
Marind	mrz	nucl1622	True
Marghi Central	mrt	marg1265	True
Maram Naga	nma	mara1379	True
Maragus	mrs	mara1399	True
Mapudungun	arn	mapu1245	True
Mapos Buang	bzh	mapo1242	True
Maori	mri	maor1246	True
Maonan	mmd	maon1241	True
Mao Naga	nbi	maon1238	True
Manumanaw Karen	kxf	manu1255	True
Mansim	NOCODE_Mansim	mans1260	True
Mansaka	msk	mans1262	True
Mann	mev	mann1248	True
Mankanya	knf	mank1251	True
Maniq	tnz	tong1308	True
Mangghuer	NOCODE_Mangghuer	minh1238	True
Mangbetu	mdj	mang1394	True
Mangarayi	mpc	mang1381	True
Mangala	mem	mang1383	True
Mandeali	mjl	mand1409	True
Manda-Matumba	mgs	mand1423	True
Mand	ate	atem1241	True
Manange	nmm	mana1288	True
Manambu	mle	mana1298	True
Mambai	mcs	mamb1294	True
Mamaindé	wmd	mama1278	True
Malvi	mup	malv1243	True
Malua Bay	mll	malu1245	True
Mali	gcc	mali1284	True
Maleu-Kilenge	mgl	male1289	True
Malayo	mbp	mala1522	True
Malay, Manado	xmm	mala1481	True
Malavedan	mjr	mala1463	True
Makonde	kde	mako1251	True
Makhuwa-Saka	xsq	makh1266	True
Makasar	mak	maka1311	True
Makasae-Makalero	mkz	maka1316	True
Mak (China)	mkg	makc1235	True
Majhi	mjz	majh1253	True
Majang	mpe	maja1242	True
Maisin	mbq	mais1250	True
Maijiki	ore	orej1242	True
Mahasu Pahari	bfz	maha1287	True
Magahi	mag	maga1260	True
Madurese	mad	nucl1460	True
Madngele	zml	madn1237	True
Mada (Nigeria)	mda	mada1282	True
Macushi	mbc	macu1259	True
Maco	wpc	maco1239	True
Macedonian	mkd	mace1250	True
Maasina Fulfulde	ffm	maas1239	True
Ma'di	mhi	madi1260	True
Ma'anyan	mhy	maan1238	True
Ma Manda	skc	sauk1252	True
Lü	khb	luuu1242	True
Lusi	khl	lusi1240	True
Lundayeh	lnd	lund1271	True
Lunda	lun	lund1266	True
Lumun	lmd	lumu1239	True
Luiseno	lui	luis1253	True
Luguru	ruf	lugu1238	True
Luchazi	lch	luch1239	True
Luang	lex	luan1263	True
Lowland Tarahumara	tac	lowl1265	True
Lowland Oaxaca Chontal	clo	lowl1260	True
Lower Silesian	sli	lowe1388	True
Lower Grand Valley Dani	dni	lowe1415	True
Louisiana Creole French	lou	loui1240	True
Lou	loj	louu1245	True
Lote	uvl	lote1237	True
Loniu	los	loni1238	True
Loma (Liberia)	lom	loma1260	True
Loko	lok	loko1255	True
Lokaa	yaz	loka1252	True
Logba	lgq	logb1245	True
Lizu	NOCODE_Lizu	lizu1234	True
Lithuanian	lit	lith1251	True
Lishán Didán	trg	lish1246	True
