Language	ISO 639-3	Glottocode	feet	finger	five	hand	numerals	quinary	toe
Pero	pip	pero1241	False	True	True	True	True	True	True
Penrhyn	pnh	penr1237	True	True	True	True	True	False	True
Pengo	peg	peng1244	True	True	True	True	True	False	True
Pattani	lae	patt1248	True	True	True	True	True	False	True
Parecís	pab	pare1272	True	True	True	True	True	False	True
Paraguayan Guaraní	gug	para1311	True	True	True	True	True	False	True
Papar	dpp	papa1268	True	True	True	True	True	False	True
Pangasinan	pag	pang1290	True	True	True	True	True	False	True
Panamint	par	pana1305	True	True	True	True	True	False	True
Pamosu	hih	pamo1253	True	True	True	True	True	False	True
Pahari Newari	phj	paha1257	True	True	True	True	True	False	True
Pacific Gulf Yupik	ems	paci1278	True	True	True	True	True	False	True
Paama	pma	paam1238	True	True	True	True	True	False	True
Paakantyi	drl	darl1243	True	True	True	True	True	False	True
Owa	stn	owaa1237	True	True	True	True	True	False	True
Otoro	otr	otor1240	True	True	True	True	True	False	True
Ormuri	oru	ormu1247	True	True	True	True	True	False	True
Olo	ong	oloo1241	True	True	True	True	True	False	True
Old Russian	orv	oldr1238	True	True	True	True	True	False	True
Old Latin	qbb	oldl1238	True	True	True	True	True	False	True
Old Frisian	ofs	oldf1241	True	True	True	True	True	False	True
Old English (ca. 450-1100)	ang	olde1238	True	True	True	True	True	False	True
Oksapmin	opm	oksa1245	True	True	True	True	True	False	True
Nzadi	nzd	nzad1234	True	True	True	True	True	False	True
Nyulnyul	nyv	nyul1247	True	True	True	True	True	False	True
Nyoro	nyo	nyor1246	True	True	True	True	True	False	True
Nyang'i	nyp	nyan1313	True	True	True	True	True	False	True
Nyamwezi	nym	nyam1276	True	True	True	True	True	False	True
Nuu-chah-nulth	nuk	nuuc1236	True	True	True	True	True	False	True
Nupe-Nupe-Tako	nup	nupe1254	True	True	True	True	True	False	True
Nung (Myanmar)	nun	nung1282	True	True	True	True	True	False	True
Nuer	nus	nuer1246	True	True	True	True	True	False	True
Nottoway	ntw	nott1246	True	True	True	True	True	False	True
Northwestern Ojibwa	ojb	nort2961	True	True	True	True	True	False	True
Northwestern Kolami	kfb	nort2699	True	True	True	True	True	False	True
Northwest Sahaptin	yak	yaki1237	True	True	True	True	True	False	True
Northern Yukaghir	ykg	nort2745	True	True	True	True	True	False	True
Northern Tujia	tji	nort2732	True	True	True	True	True	False	True
Northern Straits Salish	str	stra1244	True	True	True	True	True	False	True
Northern Qiang	cng	nort2722	True	True	True	True	True	False	True
Northern Paiute	pao	nort2954	True	True	True	True	True	False	True
Northern Emberá	emp	nort2972	True	True	True	True	True	False	True
Northern Alta	aqn	nort2875	True	True	True	True	True	False	True
Northeastern Thai	tts	nort2741	True	True	True	True	True	False	True
Northeast Maidu	nmu	nort2952	True	True	True	True	True	False	True
Northeast Kiwai	kiw	nort2930	True	True	True	True	True	False	True
North-Central Talysh	tly	taly1247	True	True	True	True	True	False	True
North Slavey	scs	nort2942	True	True	True	True	True	False	True
North Moluccan Malay	max	nort2828	True	True	True	True	True	False	True
North Junín Quechua	qvn	nort2980	True	True	True	True	True	False	True
North Efate	llp	nort2836	True	True	True	True	True	False	True
North Ambrym	mmg	nort2839	False	True	True	True	True	True	True
Noon	snf	noon1242	True	True	True	True	True	True	False
Nkonya	nko	nkon1248	True	True	True	True	True	False	True
Nkami	nkq	nkam1239	True	True	True	True	True	False	True
Niuean	niu	niue1239	True	True	True	True	True	False	True
Nisga'a	ncg	nisg1240	True	True	True	True	True	False	True
Nimadi	noe	nima1243	True	True	True	True	True	False	True
Nicaragua Creole English	bzk	nica1252	True	True	True	True	True	False	True
Nias	nia	nias1242	True	True	True	True	True	False	True
Ngiti	niy	ngit1239	True	True	True	True	True	False	True
Nggem	nbq	ngge1241	True	True	True	True	True	False	True
Ngas	anc	ngas1240	True	True	True	True	True	False	True
Nganasan	nio	ngan1291	True	True	True	True	True	False	True
Ngadjunmaya	nju	ngad1258	True	True	True	True	True	False	True
Neverver	lgk	ling1265	False	True	True	True	True	True	True
Nen	nqn	nenn1238	True	True	True	True	True	False	True
Nek	nif	nekk1240	True	True	True	True	True	False	True
Negeri Sembilan Malay	zmi	nege1240	True	True	True	True	True	False	True
Ndonga	ndo	ndon1254	True	True	True	True	True	False	True
Ndau	ndc	ndau1241	True	True	True	True	True	False	True
Ndamba	ndj	ndam1239	True	True	True	True	True	False	True
Ndali	ndh	ndal1241	True	True	True	True	True	True	False
Nawuri	naw	nawu1242	True	True	True	True	True	False	True
Navajo	nav	nava1243	True	True	True	True	True	False	True
Nauru	nau	naur1243	True	True	True	True	True	False	True
Nara	nrb	nara1262	True	True	True	True	True	True	False
Nangikurrunggurr	nam	nang1259	True	True	True	True	True	False	True
Nandi	niq	nand1266	True	True	True	True	True	False	True
Nande	nnb	nand1264	True	True	True	True	True	False	True
Nakanai	nak	naka1262	True	False	True	True	True	True	True
Myene	mye	myen1241	True	True	True	True	True	False	True
Mussau-Emira	emi	muss1246	True	True	True	True	True	False	True
Muruwari	zmu	muru1266	True	True	True	True	True	False	True
Murle	mur	murl1244	True	True	True	True	True	False	True
Mungaka	mhk	mung1266	True	True	True	True	True	False	True
Mundabli	boe	mund1328	True	True	True	True	True	False	True
Mumuye	mzm	nucl1240	True	True	True	True	True	False	True
