ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_Glottocode,Family_Name,Status,Parent_Glottocode
sylh1242,Sylheti,Eurasia,24.837239999999998,92.25347,sylh1242,syl,indo1319,Indo-European,not endangered,east2744
hajo1238,Hajong,Eurasia,25.5143,89.8594,hajo1238,haj,indo1319,Indo-European,not endangered,east2744
reli1238,Reli,Eurasia,18.1213,82.4996,reli1238,rei,indo1319,Indo-European,threatened,macr1269
bodo1266,Bodo Parja,Eurasia,19.0745,82.8774,bodo1266,bdv,indo1319,Indo-European,not endangered,macr1269
oriy1255,Odia,Eurasia,21.0,85.0,oriy1255,ory,indo1319,Indo-European,not endangered,macr1269
kupi1238,Kupia,Eurasia,16.4708,79.5153,kupi1238,key,indo1319,Indo-European,threatened,macr1269
adiv1239,Kotia-Adivasi Oriya-Desiya,Eurasia,18.1046,82.8487,adiv1239,ort,indo1319,Indo-European,not endangered,macr1269
samb1325,Sambalpuri,Eurasia,21.2233,83.9315,samb1325,spv,indo1319,Indo-European,not endangered,macr1269
naha1262,Nahari,Eurasia,20.4118,81.97747,naha1262,nhh,indo1319,Indo-European,threatened,halb1246
kama1350,Kamar,Eurasia,20.5342,81.9101,kama1350,keq,indo1319,Indo-European,not endangered,halb1246
bhun1242,Bhunjia,Eurasia,21.2761,83.1614,bhun1242,bhu,indo1319,Indo-European,threatened,halb1246
halb1244,Halbi,Eurasia,20.3081,81.3742,halb1244,hlb,indo1319,Indo-European,not endangered,halb1246
bhat1265,Bhatri,Eurasia,19.26078,82.24055,bhat1265,bgw,indo1319,Indo-European,not endangered,halb1246
pali1273,Pali,Eurasia,24.5271,82.251,pali1273,pli,indo1319,Indo-European,extinct,biha1245
rana1246,Rana Tharu,Eurasia,28.6483,80.4419,rana1246,thr,indo1319,Indo-European,not endangered,thar1284
buks1238,Buksa,Eurasia,29.0853,79.4233,buks1238,tkb,indo1319,Indo-European,not endangered,unun9886
majh1253,Majhi,Eurasia,29.4559,80.3788,majh1253,mjz,indo1319,Indo-European,shifting,unun9886
