id,family_id,name,iso639P3code,aes,population
amam1247,sign1238,Amami O Shima Sign Language,jks,unk,-1
aman1265,bord1247,Amanab,amn,7 (Shifting),4420
aman1266,tupi1275,Amanayé,ama,10 (Extinct),0
amap1240,left1242,Ama (Papua New Guinea),amm,6b (Threatened),480
amap1241,book1242,Amapá Creole,amd,unk,-1
amar1271,iwai1246,Amurdak,amg,8b (Nearly extinct),1
amar1272,aust1307,Amara,aie,7 (Shifting),230
amar1273,aust1307,Amarasi,aaz,6b (Threatened),70000
amar1274,hara1260,Amarakaeri,amr,7 (Shifting),1910
amas1236,nyim1244,Ama (Sudan),nyi,Not Endangered,158000
amat1238,otom1299,Amatlán Zapotec,zpo,6b (Threatened),10000
amba1263,atla1278,Amba (Uganda),rwm,6b (Threatened),47100
amba1265,aust1307,Ambai,amk,6b (Threatened),10100
amba1266,aust1307,Amba (Solomon Islands),utp,Not Endangered,590
amba1267,aust1307,Ambala Ayta,abc,6b (Threatened),1660
amba1269,kera1258,Ambakich,aew,7 (Shifting),770
ambe1247,atla1278,Ambele,ael,6b (Threatened),5000
ambe1248,aust1307,Ambelau,amv,Not Endangered,5700
ambl1237,aust1307,Amblong,alm,7 (Shifting),150
ambo1249,atla1278,Ambo,amb,6b (Threatened),1000
ambo1250,aust1307,Ambonese Malay,abs,Not Endangered,250000
ambo1252,quec1387,Ambo-Pasco Quechua,qva,6b (Threatened),90000
ambr1239,nucl1708,Ambrak,aag,6b (Threatened),290
ambu1247,nduu1242,Ambulas,abt,6b (Threatened),44000
amda1238,fura1235,Amdang,amj,7 (Shifting),41100
amdo1237,sino1245,Amdo Tibetan,adx,Not Endangered,1800000
amel1241,nucl1709,Amele,aey,6b (Threatened),5300
amer1248,sign1238,American Sign Language,ase,Not Endangered,328850
amer1256,book1242,Amerax,aex,unk,-1
amga1235,aust1307,Amganad Ifugao,ifa,Not Endangered,27100
amha1245,afro1255,Amharic,amh,Not Endangered,32319980
amii1238,west2434,Ami,amy,8b (Nearly extinct),30
amik1238,book1242,Amikoana,akn,unk,-1
amis1246,aust1307,Amis,ami,6b (Threatened),138000
ammo1234,afro1255,Ammonite,qgg,unk,-1
amol1235,nucl1708,Mol,alx,7 (Shifting),500
amol1236,otom1299,Amoltepec Mixtec,mbz,6b (Threatened),5630
amoo1242,atla1278,Amo,amo,Not Endangered,12300
ampa1238,dogo1299,Ampari Dogon,aqd,7 (Shifting),5200
ampa1239,aust1307,Ampanang,apg,Not Endangered,30000
amri1238,sino1245,Amri Karbi,ajz,6b (Threatened),125000
amto1250,amto1249,Amto,amt,7 (Shifting),300
amun1246,tupi1275,Amundava,adw,6b (Threatened),83
anaa1238,atla1278,Anaang,anw,6b (Threatened),2740000
anak1240,aust1307,Anakalangu,akg,6b (Threatened),16000
anal1239,sino1245,Anal,anm,7 (Shifting),27250
anam1247,nucl1709,Anam,pda,7 (Shifting),1070
anam1248,nucl1709,Anamuxra,imi,Not Endangered,1960
anam1249,tupi1275,Anambé,aan,10 (Extinct),6
anas1239,book1242,Anasi,bpo,6b (Threatened),2000
anat1248,dogo1299,Ana Tinga Dogon,dti,6b (Threatened),500
anca1236,book1242,Áncá,acb,Not Endangered,300
anci1242,indo1319,Ancient Greek,grc,10 (Extinct),0
anci1244,afro1255,Ancient Hebrew,hbo,10 (Extinct),0
anci1245,afro1255,Ancient North Arabian,xna,unk,-1
anci1248,uncl1493,Ancient Ligurian,xlg,10 (Extinct),0
anda1280,indo1319,Andaman Creole Hindi,hca,Not Endangered,10000
anda1282,worr1236,Andadjin,ajn,8b (Nearly extinct),0
anda1283,araf1243,Andai,afd,7 (Shifting),440
anda1284,lowe1437,Andarum,aod,7 (Shifting),1080
anda1286,anda1286,Andaqui,ana,10 (Extinct),0
anda1287,afro1255,Andalusian Arabic,xaa,unk,-1
ande1247,pama1250,Andegerebinha,adg,10 (Extinct),0
andh1242,indo1319,Andh,anr,6b (Threatened),100000
andi1255,nakh1245,Andi,ani,6b (Threatened),5800
andi1257,aust1307,Andio,bzb,7 (Shifting),335
ando1255,zapa1251,Andoa,anb,10 (Extinct),0
ando1256,ando1256,Andoque,ano,7 (Shifting),370
andr1248,aust1307,Andra-Hus,anx,Not Endangered,1410
anei1239,aust1307,Aneityum,aty,7 (Shifting),900
anem1248,yare1250,Aneme Wake,aby,Not Endangered,650
anem1249,anem1249,Anem,anz,7 (Shifting),800
anfi1235,gong1255,Anfillo,myo,7 (Shifting),500
anga1288,sino1245,Angami Naga,njm,6b (Threatened),153000
anga1290,anga1289,Angaataha,agm,Not Endangered,2500
anga1292,nucl1709,Angal Heneng,akh,Not Endangered,40000
anga1293,nucl1709,Angal,age,Not Endangered,18600
anga1294,nucl1709,Angal Enen,aoe,Not Endangered,22000
anga1316,leng1261,Angaité,aqt,8a (Moribund),1030
angg1238,pama1250,Angkamuthi,avm,10 (Extinct),0
angg1239,nucl1709,Angguruk Yali,yli,Not Endangered,15000
angi1238,indo1319,Angika,anp,6b (Threatened),743600
angl1239,indo1319,Archaic Angloromani,rme,Not Endangered,99200
angl1258,indo1319,Anglo-Norman,xno,unk,-1
ango1254,sena1264,Angor,agg,7 (Shifting),1270
ango1255,lowe1437,Angoram,aog,7 (Shifting),8220
ango1257,chib1249,Angosturas Tunebo,tnd,7 (Shifting),50
ango1258,indo1319,Angolar,aoa,6b (Threatened),7900
angu1242,pama1250,Anguthimri,awg,10 (Extinct),0
anii1245,atla1278,Anii,blo,6b (Threatened),48900
anii1246,khoe1240,//Ani,hnh,7 (Shifting),1000
anim1239,atla1278,Animere,anf,8a (Moribund),700
anin1240,gunw1250,Anindilyakwa,aoi,7 (Shifting),1480
anin1242,atla1278,Aninka,aqk,Not Endangered,500
anip1235,sino1245,Ani Phowa,ypn,6b (Threatened),10000
anir1237,aust1307,Warwar Feni,hrw,Not Endangered,2100
anja1238,nucl1709,Anjam,boj,6b (Threatened),2020
anka1246,anga1289,Ankave,aak,Not Endangered,1600
anma1239,pama1250,Anmatyerre,amx,7 (Shifting),640
anor1241,lowe1437,Anor,anj,7 (Shifting),980
anse1238,choc1280,Anserma,ans,10 (Extinct),0
ansu1237,aust1307,Ansus,and,6b (Threatened),4600
anta1253,pama1250,Antakarinya,ant,10 (Extinct),0
anta1255,aust1307,Antankarana Malagasy,xmv,Not Endangered,156000
anti1245,indo1319,Antigua and Barbuda Creole English,aig,Not Endangered,159520
anua1242,nilo1247,Anuak,anu,Not Endangered,142600
anuf1239,atla1278,Anufo,cko,Not Endangered,177200
anuk1239,aust1307,Anuki,aui,7 (Shifting),890
anus1237,aust1307,Anus,auq,7 (Shifting),320
anut1237,aust1307,Anuta,aud,7 (Shifting),270
anuu1241,sino1245,Anu-Hkongso,anl,6b (Threatened),4000
anyi1244,atla1278,Anyin Morofo,mtb,Not Endangered,300000
anyi1245,atla1278,Anyin,any,Not Endangered,1506400
aohe1237,aust1307,Aoheng-Seputan,pni,6b (Threatened),2630
aona1235,sino1245,Ao Naga,njo,6b (Threatened),260000
aore1237,aust1307,Aore,aor,10 (Extinct),0
aoua1234,taik1256,A'ou,aou,8b (Nearly extinct),50
apal1237,musk1252,Apalachee,xap,unk,-1
apal1255,aust1307,Apalik,apo,Not Endangered,1200
apal1256,nucl1709,Apali,ena,Not Endangered,980
apal1257,cari1283,Apalaí,apy,7 (Shifting),450
apas1235,otom1299,Apasco-Apoala Mixtec,mip,7 (Shifting),10000
apat1240,sino1245,Apatani,apt,6b (Threatened),44800
apia1248,tupi1275,Apiaká,api,10 (Extinct),0
apin1244,nucl1710,Apinayé,apn,7 (Shifting),1500
apma1240,aust1307,Apma,app,Not Endangered,10000
apma1241,kera1258,Ap Ma,kbx,7 (Shifting),10000
apro1235,atla1278,Aproumu Aizi,ahp,7 (Shifting),6500
apuc1241,grea1241,Apucikwar,apq,10 (Extinct),0
apur1254,araw1281,Apurinã,apu,7 (Shifting),2000
aput1237,aust1307,Aputai,apx,7 (Shifting),150
arab1267,pama1250,Arabana,ard,10 (Extinct),15
arab1268,zapa1251,Arabela,arl,8b (Nearly extinct),50
araf1243,araf1243,Arafundi,arf,unk,-1
arag1245,indo1319,Aragonese,arg,7 (Shifting),30000
arak1252,aust1307,Araki,akr,8b (Nearly extinct),8
arak1254,book1242,Arakwal,rkw,10 (Extinct),0
arak1256,book1242,Arakanese,mhv,unk,-1
aral1243,aust1307,Aralle-Tabulahan,atq,Not Endangered,29300
aram1252,book1242,Aramanik,aam,10 (Extinct),0
aram1253,more1255,Arammba,stk,Not Endangered,750
aran1237,sout1516,Dombano,jbj,6b (Threatened),1000
aran1261,drav1251,Aranadan,aaf,7 (Shifting),200
aran1265,uncl1493,Aranama,xrt,10 (Extinct),0
arao1248,pano1259,Araona,aro,7 (Shifting),110
arap1274,algi1248,Arapaho,arp,8a (Moribund),1070
arap1275,tuca1253,Arapaso,arj,10 (Extinct),0
araw1272,nucl1709,Arawum,awm,8a (Moribund),320
araw1273,tupi1275,Araweté,awt,7 (Shifting),340
araw1276,araw1281,Lokono,arw,8a (Moribund),2510
arbe1236,indo1319,Arbëreshë Albanian,aae,6b (Threatened),100000
arbo1245,afro1255,Arbore,arv,7 (Shifting),10320
arch1244,nakh1245,Archi,aqc,7 (Shifting),970
area1240,aust1307,'Are'are,alu,Not Endangered,17900
areb1238,pama1250,Areba,aea,10 (Extinct),0
aree1239,aust1307,Are,mwc,Not Endangered,1230
arem1240,aust1305,Arem,aem,8b (Nearly extinct),270
areq1237,quec1387,Arequipa-La Unión Quechua,qxu,Not Endangered,18600
arge1236,sign1238,Argentine Sign Language,aed,Not Endangered,60000
argo1244,afro1255,Argobba,agj,6b (Threatened),46940
argu1237,aust1307,Arguni,agf,7 (Shifting),150
arha1237,aust1307,Arhâ,aqr,8a (Moribund),170
arho1237,aust1307,Arhö,aok,8a (Moribund),10
arhu1242,chib1249,Arhuaco,arh,6b (Threatened),8000
arib1240,aust1307,Aribwaung,ylu,6b (Threatened),500
arib1241,aust1307,Aribwatsa,laz,10 (Extinct),0
arif1239,aust1307,Arifama-Miniafia,aai,7 (Shifting),3470
arig1246,atla1278,Arigidi,aqg,Not Endangered,48000
arii1243,suki1244,Ari,aac,8a (Moribund),50
arik1262,cadd1255,Arikara,ari,8b (Nearly extinct),10
